feature,mean_importance
understory_pct_of_building_footprint,-0.005291781645835469
mindist,-0.0017967567382254912
"roof_shape_Complex,Gable",-0.0009998348992350387
longitude,-0.0007822455523331412
year_built,-0.00032941677956907224
foundation_type_Slab-on-grade,-8.475170812478062e-05
roof_substrate_type_Unknown,-8.108145146965562e-05
building_type,-4.7189438726522036e-05
"roof_system_""Wood, unknown""",-3.1906793432845416e-06
roof_cover_Asphalt shingles (laminated),-3.0202850719446284e-06
foundation_type_Unknown,-1.848513099067528e-06
"wall_substrate_""Wood, sheathing (corners only)""",0.0
"roof_system_""Steel, joists""",0.0
"roof_system_""Wood, rafter""",0.0
"roof_system_""Wood, trusses"",""Wood, rafter""",0.0
"roof_system_""Steel, hot rolled"",""Wood, unknown""",0.0
"roof_system_""Steel, hot rolled"",Z purlins",0.0
"roof_system_""Steel, cold formed"",Concrete slab",0.0
"roof_system_""Steel, hot rolled""",0.0
roof_system_Concrete slab,0.0
"roof_system_""Steel, cold formed""",0.0
wall_substrate_masonry ,0.0
wall_substrate_Thin aluminum siding,0.0
"wall_substrate_Not Applicable,Wood Beams",0.0
wall_substrate_Not Applicable,0.0
wall_substrate_None at first floor Rc moment frame,0.0
wall_substrate_None,0.0
"roof_system_""Steel, hot rolled"",""Steel, joists""",0.0
roof_substrate_type_Dimensional lumber,0.0
roof_substrate_type_Plywood/OSB,0.0
roof_substrate_type_None,0.0
"roof_cover_Wood shake,Wood shingle",0.0
roof_cover_Unknown,0.0
roof_cover_Tile Slate Roof Cover,0.0
roof_cover_Roll roofing,0.0
roof_cover_Red composite shingle,0.0
roof_cover_Other,0.0
roof_cover_Metal shingles,0.0
roof_cover_Clay tiles,0.0
roof_substrate_type_Metal deck,0.0
roof_cover_Built-up without Gravel,0.0
"roof_cover_Asphalt shingles (laminated),""Metal, standing seam""",0.0
"roof_cover_Asphalt shingles (laminated),""Metal, corrugated""",0.0
"roof_cover_Asphalt shingles (3-tab),""Metal, standing seam""",0.0
"roof_cover_""Metal, standing seam""",0.0
"roof_cover_""Metal, corrugated"",""Metal, standing seam""",0.0
"roof_cover_""Metal, corrugated""",0.0
wall_substrate_Metal panels,0.0
roof_substrate_type_Plywood,0.0
roof_cover_Built-up with Gravel,0.0
wall_substrate_Insulated foam board,0.0
roof_cover_composite shingles,0.0
roof_cover_Wood shingle,0.0
"roof_shape_Hip,Curved",0.0
roof_shape_Hip,0.0
"wall_substrate_""Wood, sheathing""",0.0
"roof_shape_Gable,Monoslope",0.0
"roof_shape_Gable,Hip",0.0
"roof_shape_Gable,Gambrel",0.0
"roof_shape_Flat,Gable",0.0
roof_shape_Flat,0.0
"roof_shape_Complex,Hip",0.0
roof_shape_Complex,0.0
roof_shape_Arch,0.0
Buildinglong,0.0
wall_structure,0.0
number_of_stories,0.0
Buildinglat,0.0
"roof_shape_Hip,Gable",0.0
roof_shape_Monoslope,0.0
roof_shape_Gambrel,0.0
foundation_type_Unreinforced masonry stem wall,0.0
foundation_type_Wood Piers <= 8 ft,0.0
roof_shape_Unknown,0.0
foundation_type_Unreinforced masonry piers,0.0
"wall_substrate_""Wood, dimensional planks""",0.0
"foundation_type_Slab on Grate and Wood Piers, unknown height",0.0
foundation_type_Wood Piers > 8 ft,0.0
foundation_type_Reinforced masonry piers,0.0
foundation_type_Ground anchors and strapping,0.0
foundation_type_Crawlspace,0.0
foundation_type_Concrete piers support cast concrete slab on grade,0.0
foundation_type_Cast-in-place concrete piers,0.0
"wall_substrate_""Wood, sheathing (continuous)""",0.0
"foundation_type_Piers <= 8 ft, unstrapped",0.0
foundation_type_helical anchors spaced irregulary,0.0
roof_shape_Gable/Hip Combo,6.74133135314392e-08
rainwater_ingress_damage_rating,4.6742535455021604e-05
mwfrs,9.877915989109365e-05
"roof_system_""Wood, trusses""",0.00010798238627297563
roof_shape_Gable,0.00028916466046106926
wall_cladding,0.0002986125728307587
roof_cover_Asphalt shingles (3-tab),0.00036490099716120217
wall_substrate_Unknown,0.0007164964848080435
Unnamed0,0.000912139787198074
roof_system_Unknown,0.0034856635156761046
hazards_present,0.009735791595843748
wind_damage_rating,1.3216068017965745
surge_damage_rating,1.6104279983094667
