feature,mean_importance
roof_shape_Gable/Hip Combo,-0.001975737943485155
"roof_shape_Complex,Gable",-0.0018782219195047022
roof_system_Concrete slab,-0.0011630099098196012
roof_cover_Asphalt shingles (3-tab),-0.0009587180888336849
foundation_type_Slab-on-grade,-0.0006057589629081872
"roof_system_""Wood, unknown""",-0.00020782188007442137
"roof_cover_""Metal, corrugated""",-0.00015226648022479973
roof_substrate_type_Dimensional lumber,0.0
"roof_system_""Wood, trusses"",""Wood, rafter""",0.0
"roof_system_""Wood, rafter""",0.0
"roof_system_""Steel, joists""",0.0
"roof_system_""Steel, hot rolled"",Z purlins",0.0
"roof_system_""Steel, hot rolled"",""Wood, unknown""",0.0
"roof_system_""Steel, hot rolled"",""Steel, joists""",0.0
"roof_system_""Steel, cold formed"",Concrete slab",0.0
wall_substrate_masonry ,0.0
wall_substrate_Thin aluminum siding,0.0
roof_cover_Wood shingle,0.0
roof_substrate_type_Metal deck,0.0
roof_substrate_type_None,0.0
"wall_substrate_Not Applicable,Wood Beams",0.0
wall_substrate_None at first floor Rc moment frame,0.0
"roof_cover_Wood shake,Wood shingle",0.0
roof_cover_Unknown,0.0
roof_cover_Tile Slate Roof Cover,0.0
roof_cover_Roll roofing,0.0
roof_cover_Red composite shingle,0.0
roof_cover_Other,0.0
roof_substrate_type_Plywood,0.0
roof_cover_Metal shingles,0.0
roof_cover_Built-up without Gravel,0.0
roof_cover_Built-up with Gravel,0.0
"roof_cover_Asphalt shingles (laminated),""Metal, standing seam""",0.0
"roof_cover_Asphalt shingles (laminated),""Metal, corrugated""",0.0
"roof_cover_Asphalt shingles (3-tab),""Metal, standing seam""",0.0
"roof_cover_""Metal, corrugated"",""Metal, standing seam""",0.0
roof_cover_Clay tiles,0.0
wall_substrate_None,0.0
roof_cover_composite shingles,0.0
wall_substrate_Insulated foam board,0.0
foundation_type_Crawlspace,0.0
wall_substrate_Metal panels,0.0
foundation_type_Cast-in-place concrete piers,0.0
roof_shape_Unknown,0.0
roof_shape_Monoslope,0.0
"roof_shape_Hip,Gable",0.0
"foundation_type_Piers <= 8 ft, unstrapped",0.0
"roof_shape_Hip,Curved",0.0
"roof_shape_Gable,Monoslope",0.0
"roof_shape_Gable,Hip",0.0
"roof_shape_Gable,Gambrel",0.0
"roof_shape_Flat,Gable",0.0
"roof_shape_Complex,Hip",0.0
roof_shape_Arch,0.0
roof_shape_Gambrel,0.0
foundation_type_Reinforced masonry piers,0.0
foundation_type_Concrete piers support cast concrete slab on grade,0.0
"wall_substrate_""Wood, sheathing""",0.0
foundation_type_Unreinforced masonry piers,0.0
foundation_type_Unreinforced masonry stem wall,0.0
"wall_substrate_""Wood, sheathing (corners only)""",0.0
foundation_type_Wood Piers <= 8 ft,0.0
foundation_type_Wood Piers > 8 ft,0.0
"wall_substrate_""Wood, dimensional planks""",0.0
foundation_type_helical anchors spaced irregulary,0.0
"foundation_type_Slab on Grate and Wood Piers, unknown height",0.0
"roof_system_""Steel, cold formed""",1.6356214931650958e-06
"roof_system_""Wood, trusses""",4.634273731893568e-05
roof_shape_Gable,5.251354341133385e-05
roof_shape_Complex,9.357766990105709e-05
roof_shape_Flat,0.00020153658916276517
roof_cover_Asphalt shingles (laminated),0.0003405295005572739
foundation_type_Ground anchors and strapping,0.0004106096462027253
"roof_system_""Steel, hot rolled""",0.0005408697198401785
wall_substrate_Unknown,0.0011896280539334641
roof_substrate_type_Unknown,0.0012641555153499323
roof_substrate_type_Plywood/OSB,0.0013569148426208267
roof_system_Unknown,0.003600487282590219
foundation_type_Unknown,0.004374434086220516
"wall_substrate_""Wood, sheathing (continuous)""",0.0049550259485422795
wall_substrate_Not Applicable,0.00517907002145272
roof_shape_Hip,0.005338286730564053
"roof_cover_""Metal, standing seam""",0.012393597056983657
wind_damage_rating,1.4702686299635008
surge_damage_rating,1.9102139352916594
