feature,mean_importance
15_CatBoost_prediction,-0.0016120722093086125
27_LightGBM_GoldenFeatures_prediction,-0.0010376777816022587
16_CatBoost_prediction,-0.0004791455720909776
4_Default_Xgboost_prediction,-0.00023645945747977903
6_Default_RandomForest_GoldenFeatures_prediction,-0.00013952042092179318
11_RandomForest_GoldenFeatures_prediction,-0.00012890685145799664
10_RandomForest_prediction,-9.511142066454259e-05
wind_damage_rating,-6.213885481990699e-05
"roof_system_""Steel, hot rolled""",-1.991617817826974e-05
building_type,-1.0248477427365899e-05
understory_pct_of_building_footprint,-3.044550564534898e-06
"wall_substrate_Not Applicable,Wood Beams",0.0
wall_substrate_None at first floor Rc moment frame,0.0
wall_substrate_None,0.0
wall_substrate_Metal panels,0.0
"roof_system_""Steel, cold formed""",0.0
"roof_system_""Steel, cold formed"",""Steel, joists""",0.0
wall_substrate_masonry ,0.0
wall_substrate_Insulated foam board,0.0
roof_shape_Hip,0.0
"roof_system_""Steel, cold formed"",Concrete slab",0.0
foundation_type_Concrete piers support cast concrete slab on grade,0.0
foundation_type_Crawlspace,0.0
foundation_type_Ground anchors and strapping,0.0
"foundation_type_Piers <= 8 ft, unstrapped",0.0
foundation_type_Reinforced masonry piers,0.0
foundation_type_Reinforced masonry stem wall,0.0
"wall_substrate_""Wood, sheathing""",0.0
"foundation_type_Slab on Grate and Wood Piers, unknown height",0.0
foundation_type_Unknown,0.0
foundation_type_Unreinforced masonry piers,0.0
foundation_type_Unreinforced masonry stem wall,0.0
foundation_type_Wood Piers <= 8 ft,0.0
foundation_type_Wood Piers > 8 ft,0.0
"wall_substrate_""Wood, dimensional planks""",0.0
foundation_type_Slab-on-grade,0.0
"wall_substrate_""Wood, sheathing (continuous)""",0.0
"roof_system_""Steel, joists""",0.0
"roof_system_""Steel, hot rolled"",Z purlins",0.0
roof_cover_Tile Slate Roof Cover,0.0
roof_cover_Roll roofing,0.0
roof_cover_Other,0.0
roof_cover_Metal shingles,0.0
roof_cover_Clay tiles,0.0
roof_cover_Built-up without Gravel,0.0
roof_cover_Built-up with Gravel,0.0
"roof_cover_Asphalt shingles (laminated),""Metal, standing seam""",0.0
"roof_cover_Asphalt shingles (laminated),""Metal, corrugated""",0.0
roof_cover_Asphalt shingles (laminated),0.0
"roof_cover_Asphalt shingles (3-tab),""Metal, standing seam""",0.0
"roof_cover_""Metal, standing seam""",0.0
"roof_system_""Steel, hot rolled"",""Wood, unknown""",0.0
"roof_cover_""Metal, corrugated"",""Metal, standing seam""",0.0
roof_substrate_type_Plywood/OSB,0.0
roof_substrate_type_Plywood,0.0
roof_substrate_type_None,0.0
roof_substrate_type_Metal deck,0.0
roof_substrate_type_Dimensional lumber,0.0
roof_system_Unknown,0.0
roof_system_Concrete slab,0.0
"roof_system_""Wood, unknown""",0.0
"roof_system_""Wood, trusses""",0.0
"roof_system_""Wood, rafter"",""Wood, trusses""",0.0
