feature,mean_importance
wind_damage_rating,-0.0009202670980456393
5_Default_CatBoost_SelectedFeatures_prediction,-5.045065842598784e-05
8_CatBoost_SelectedFeatures_prediction,0.0006180537926611926
3_Default_LightGBM_prediction,0.001051820210690163
5_Default_CatBoost_prediction,0.0010547989427541718
3_Default_LightGBM_GoldenFeatures_prediction,0.0018808515170818149
1_DecisionTree_prediction,0.0020483933736467107
23_CatBoost_SelectedFeatures_prediction,0.0022485969927155554
3_Default_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0022825306327619657
4_Default_Xgboost_categorical_mix_SelectedFeatures_prediction,0.0031886949416796264
surge_damage_rating,0.0035225611912559074
11_RandomForest_GoldenFeatures_prediction,0.004630041772182507
24_RandomForest_GoldenFeatures_prediction,0.005149234509071078
9_RandomForest_prediction,0.005318546089016486
12_RandomForest_GoldenFeatures_prediction,0.005421454010438667
19_Xgboost_SelectedFeatures_prediction,0.0061026348360818505
5_Default_CatBoost_GoldenFeatures_prediction,0.006138809129020521
16_CatBoost_prediction,0.00636684770265092
10_RandomForest_prediction,0.006978635422108347
26_Xgboost_prediction,0.007220852415519148
7_CatBoost_SelectedFeatures_prediction,0.007224199213105263
21_DecisionTree_prediction,0.007355393390868025
20_Xgboost_prediction,0.008339700866572253
27_LightGBM_GoldenFeatures_prediction,0.008856576921374105
15_CatBoost_prediction,0.009171390732572376
Ensemble_prediction,0.009723819750779978
6_Default_RandomForest_prediction,0.011107950609771407
18_LightGBM_prediction,0.011958345515821998
14_LightGBM_GoldenFeatures_prediction,0.012560915238988102
4_Default_Xgboost_prediction,0.013717594585235564
2_Linear_prediction,0.015015789770492848
4_Default_Xgboost_categorical_mix_prediction,0.016763683969927674
22_DecisionTree_prediction,0.01785367691291338
13_LightGBM_GoldenFeatures_prediction,0.020019041849589338
17_LightGBM_prediction,0.023530766998107872
25_Xgboost_SelectedFeatures_prediction,0.028994735038981933
6_Default_RandomForest_SelectedFeatures_prediction,0.03144920673288348
6_Default_RandomForest_GoldenFeatures_prediction,0.03773981290090239
