feature,mean_importance
year_built,-0.0009163107150554156
Buildinglat,-0.0004097502445156526
Buildinglong,-0.00040132284945885164
longitude,-0.00024290357085262338
roof_cover,-0.00021045811594822827
Unnamed0,-0.00016487102294782395
building_type,-9.89920435014252e-05
wall_structure,-2.49768365911035e-05
roof_system,-4.716039364963121e-06
number_of_stories,2.7755575615628915e-18
foundation_type,8.904285801747402e-08
rainwater_ingress_damage_rating,1.2627796981945494e-05
roof_substrate_type,3.4017482984502466e-05
wall_cladding,4.165501399842064e-05
mwfrs,9.480569412761986e-05
roof_shape,0.00010040348148069312
understory_pct_of_building_footprint,0.00024062367678630016
hazards_present,0.00041955942276473426
wall_substrate,0.0004896890623851513
mindist,0.01217321234787908
wind_damage_rating,1.2009021095913353
surge_damage_rating,1.2492628037042404
