feature,shap_importance
wind_damage_rating,0.6264499568124122
surge_damage_rating,0.42580926056457447
mindist,0.02351295286910505
building_type,0.00422565852977433
Unnamed0,0.0035626608470657006
hazards_present,0.003560693749966198
Buildinglat,0.0032779078616753964
year_built,0.003236359682753148
wall_substrate,0.0032211859771429843
longitude,0.0027170993331722283
wall_structure,0.002668540201383916
roof_system,0.0013796072924146918
understory_pct_of_building_footprint,0.0009306700576999352
roof_cover,0.0008603878175624839
roof_shape,0.0007583939518176119
mwfrs,0.0006434119844082613
roof_substrate_type,0.000639626710293495
Buildinglong,0.00032704684192357675
foundation_type,0.0002214978231281821
wall_cladding,0.0002085869931807561
rainwater_ingress_damage_rating,9.755688637779278e-05
number_of_stories,3.064191145689639e-05
