feature,mean_importance
hazards_present,-0.001123589422645893
roof_shape,-0.0006606082437949412
mindist,-0.0005020650403537274
roof_system,-0.00046454889961494716
wind_damage_rating_multiply_longitude,-0.0003801555523560762
wall_structure,-0.00025757789331367075
rainwater_ingress_damage_rating,-8.326672684688674e-18
roof_substrate_type,-5.551115123125783e-18
Buildinglong,-5.551115123125783e-18
wind_damage_rating_ratio_Buildinglong,-5.551115123125783e-18
foundation_type,-2.7755575615628915e-18
wall_substrate,-2.7755575615628915e-18
number_of_stories,-2.7755575615628915e-18
building_type,0.0
year_built,0.0
understory_pct_of_building_footprint,0.0
wall_cladding,2.7755575615628915e-18
wind_damage_rating,5.551115123125783e-18
longitude,9.928234211911968e-05
Unnamed0,0.0002458255688599753
roof_cover,0.0002788815534125216
wind_damage_rating_multiply_Buildinglat,0.0005934263512075655
mwfrs,0.0009909979006901438
Buildinglat,0.0012014924345163046
longitude_diff_wind_damage_rating,0.0024476786581574123
Buildinglong_multiply_wind_damage_rating,0.002849121951585634
wind_damage_rating_ratio_longitude,0.0051078416877923475
Buildinglat_diff_wind_damage_rating,0.005528706705961331
wind_damage_rating_ratio_Buildinglat,0.013761954568732285
surge_damage_rating,0.016529669468392922
Buildinglat_ratio_wind_damage_rating,0.14270640607751414
surge_damage_rating_sum_wind_damage_rating,0.8522016583197933
