feature,shap_importance
surge_damage_rating_sum_wind_damage_rating,0.5106752949764723
Buildinglat_ratio_wind_damage_rating,0.1616935740002205
Buildinglat_diff_wind_damage_rating,0.08729839898356641
wind_damage_rating_ratio_Buildinglat,0.06791279132085634
surge_damage_rating,0.05718784185035809
wind_damage_rating_multiply_Buildinglat,0.01859155825681536
Buildinglong_multiply_wind_damage_rating,0.011648682446113903
longitude_diff_wind_damage_rating,0.00924052078192155
wind_damage_rating_ratio_longitude,0.00681589022185193
understory_pct_of_building_footprint,0.0060414724243930676
wind_damage_rating_multiply_longitude,0.005509277697274192
wind_damage_rating_ratio_Buildinglong,0.0038306934583262103
roof_system,0.00266759713324892
hazards_present,0.0025040372502781365
wall_structure,0.002055290932352341
mindist,0.0018153282059818188
Buildinglat,0.0018014317354853714
longitude,0.001352837353583763
Buildinglong,0.0013445858413700085
year_built,0.0013309371965924126
wall_substrate,0.0011108836175043662
Unnamed0,0.0010236633622189876
roof_shape,0.0008466358064862451
building_type,0.00034562366080094075
rainwater_ingress_damage_rating,0.0002878761621590627
wall_cladding,0.000286290173151031
mwfrs,0.00022593109892263393
roof_cover,0.0
roof_substrate_type,0.0
foundation_type,0.0
number_of_stories,0.0
wind_damage_rating,0.0
