feature,shap_importance
4_Default_Xgboost_categorical_mix_SelectedFeatures_prediction,0.23700704348507248
13_LightGBM_GoldenFeatures_prediction,0.12822394896223693
25_Xgboost_SelectedFeatures_prediction,0.12568245851344728
3_Default_LightGBM_prediction,0.1146931799418526
Ensemble_prediction,0.10703782600204546
26_Xgboost_prediction,0.06066564039362324
6_Default_RandomForest_SelectedFeatures_prediction,0.05844187964735962
9_RandomForest_prediction,0.05759963218136225
20_Xgboost_prediction,0.05001549344453163
23_CatBoost_SelectedFeatures_prediction,0.02844063456714697
6_Default_RandomForest_prediction,0.027081834918279625
1_DecisionTree_prediction,0.024919692228421757
5_Default_CatBoost_SelectedFeatures_prediction,0.024445168070972172
4_Default_Xgboost_categorical_mix_prediction,0.020240347505447086
wind_damage_rating_ratio_Buildinglat,0.017827755497935173
11_RandomForest_GoldenFeatures_prediction,0.017639092887110935
wind_damage_rating_multiply_longitude,0.011863001360057362
5_Default_CatBoost_GoldenFeatures_prediction,0.010750206658875931
6_Default_RandomForest_GoldenFeatures_prediction,0.01012582352766696
24_RandomForest_GoldenFeatures_prediction,0.006926637539472727
wind_damage_rating_multiply_Buildinglat,0.005354423072196167
rainwater_ingress_damage_rating,0.00515832608266978
understory_pct_of_building_footprint,0.0042373382120463885
Buildinglong,0.003935568904310294
5_Default_CatBoost_prediction,0.003921875065187912
surge_damage_rating,0.003837917182889321
4_Default_Xgboost_prediction,0.0033073268356978228
Buildinglat,0.0032851091254280213
hazards_present,0.0023725308736903218
8_CatBoost_SelectedFeatures_prediction,0.0022698197502356524
Buildinglat_diff_wind_damage_rating,0.0018293755600492544
year_built,0.0008413326645241786
wall_structure,0.0007323532292630273
longitude,0.0004184163842147643
27_LightGBM_GoldenFeatures_prediction,0.0
Unnamed0,0.0
17_LightGBM_prediction,0.0
14_LightGBM_GoldenFeatures_prediction,0.0
21_DecisionTree_prediction,0.0
2_Linear_prediction,0.0
surge_damage_rating_sum_wind_damage_rating,0.0
Buildinglat_ratio_wind_damage_rating,0.0
wind_damage_rating_ratio_Buildinglong,0.0
wind_damage_rating_ratio_longitude,0.0
Buildinglong_multiply_wind_damage_rating,0.0
22_DecisionTree_prediction,0.0
15_CatBoost_prediction,0.0
3_Default_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0
roof_system,0.0
wind_damage_rating,0.0
building_type,0.0
number_of_stories,0.0
roof_shape,0.0
mwfrs,0.0
foundation_type,0.0
wall_substrate,0.0
wall_cladding,0.0
roof_substrate_type,0.0
16_CatBoost_prediction,0.0
roof_cover,0.0
mindist,0.0
7_CatBoost_SelectedFeatures_prediction,0.0
10_RandomForest_prediction,0.0
18_LightGBM_prediction,0.0
19_Xgboost_SelectedFeatures_prediction,0.0
12_RandomForest_GoldenFeatures_prediction,0.0
3_Default_LightGBM_GoldenFeatures_prediction,0.0
longitude_diff_wind_damage_rating,0.0
