feature,mean_importance
7_CatBoost_SelectedFeatures_prediction,-0.0013615481875465408
11_RandomForest_GoldenFeatures_prediction,-0.0011202256484371647
12_RandomForest_GoldenFeatures_prediction,-0.0008698089625356869
hazards_present,-0.0006053182312282329
8_CatBoost_SelectedFeatures_prediction,-0.0003217908325248042
15_CatBoost_prediction,-0.00017350451988963067
wall_structure,-0.00016896525785092543
roof_system,-0.00015207230462798983
roof_substrate_type,-8.351574243943282e-05
rainwater_ingress_damage_rating,-5.630985984833303e-05
roof_shape,-4.334247481385667e-05
Buildinglong,-4.122928582972474e-06
wall_substrate,-2.384608476663219e-06
22_DecisionTree_prediction,0.0
wall_cladding,0.0
roof_cover,0.0
building_type,1.3877787807814457e-17
number_of_stories,1.3877787807814457e-17
wind_damage_rating,1.6653345369377347e-17
foundation_type,3.1027893825197326e-06
mwfrs,6.440146309319439e-06
mindist,4.29237147022421e-05
5_Default_CatBoost_GoldenFeatures_prediction,5.2585746850583594e-05
year_built,7.963232803184783e-05
2_Linear_prediction,7.985101600297972e-05
longitude,0.00014317665847398965
understory_pct_of_building_footprint,0.00016374884126936495
21_DecisionTree_prediction,0.0002196089090623937
surge_damage_rating,0.00025547577137702006
1_DecisionTree_prediction,0.0003425515441253635
13_LightGBM_GoldenFeatures_prediction,0.00035023834138883935
6_Default_RandomForest_GoldenFeatures_prediction,0.0007457495997997638
Ensemble_prediction,0.0009404900657671384
Buildinglat,0.0010771098261447287
4_Default_Xgboost_categorical_mix_SelectedFeatures_prediction,0.0012195013915050263
27_LightGBM_GoldenFeatures_prediction,0.0012216406910685706
24_RandomForest_GoldenFeatures_prediction,0.0014051002395369023
14_LightGBM_GoldenFeatures_prediction,0.0015363618153443309
16_CatBoost_prediction,0.0015803934297411975
17_LightGBM_prediction,0.0016307472115125426
Unnamed0,0.0017466808456010618
3_Default_LightGBM_GoldenFeatures_prediction,0.002094656013926427
3_Default_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0023367988741965053
9_RandomForest_prediction,0.002466472903036912
20_Xgboost_prediction,0.002567758463461897
25_Xgboost_SelectedFeatures_prediction,0.002873407972006278
10_RandomForest_prediction,0.002917923842843956
23_CatBoost_SelectedFeatures_prediction,0.0032721563018450056
6_Default_RandomForest_prediction,0.003427249107842181
26_Xgboost_prediction,0.0036827352757831306
5_Default_CatBoost_prediction,0.004006301150879807
18_LightGBM_prediction,0.004301993099990575
5_Default_CatBoost_SelectedFeatures_prediction,0.008673804395711355
19_Xgboost_SelectedFeatures_prediction,0.009696329033085533
6_Default_RandomForest_SelectedFeatures_prediction,0.02975347839048566
4_Default_Xgboost_prediction,0.03377404462826904
4_Default_Xgboost_categorical_mix_prediction,0.045689675508900636
3_Default_LightGBM_prediction,0.07647141034310524
