feature,shap_importance
wind_damage_rating,0.5400905838249166
surge_damage_rating,0.322453929111315
mindist,0.06266912437739174
roof_system,0.016317782652810888
Buildinglong,0.015126908532590872
roof_shape,0.008663786932634115
year_built,0.007878272675028747
hazards_present,0.006399130998067803
roof_substrate_type,0.0029462728101806368
Buildinglat,0.0026807731983342197
Unnamed0,0.0020827011797507557
roof_cover,0.001266684340963626
longitude,0.00037961353765023705
wall_cladding,7.707857461535603e-19
rainwater_ingress_damage_rating,0.0
building_type,0.0
number_of_stories,0.0
understory_pct_of_building_footprint,0.0
mwfrs,0.0
foundation_type,0.0
wall_structure,0.0
wall_substrate,0.0
