feature,mean_importance
wall_cladding,-0.00032376201170650486
longitude,-0.00014167662230844537
Unnamed0,-2.868942508632011e-05
roof_substrate_type,-1.6653345369377347e-17
rainwater_ingress_damage_rating,-1.6653345369377347e-17
wall_substrate,-1.6653345369377347e-17
mwfrs,-1.6653345369377347e-17
foundation_type,-1.6653345369377347e-17
wall_structure,-1.6653345369377347e-17
number_of_stories,-1.6653345369377347e-17
roof_cover,-1.3877787807814457e-17
Buildinglat,-1.3877787807814457e-17
understory_pct_of_building_footprint,3.316113572233159e-05
roof_shape,4.692001026118942e-05
roof_system,0.00020111256557241996
hazards_present,0.00027207781270978116
building_type,0.0003637078400561433
year_built,0.001685595105689003
Buildinglong,0.0025720229190046686
mindist,0.017069967160381595
surge_damage_rating,1.197713207879038
wind_damage_rating,1.9240686813455252
