feature,mean_importance
wall_cladding,-0.030080203270722805
roof_substrate_type,-0.011779082050921864
roof_shape,-0.010398287401559436
wall_substrate,-0.009690739709075436
foundation_type,-0.009575197490114063
understory_pct_of_building_footprint,-0.008563854768475609
Buildinglong,-0.0033170601586531845
year_built,0.0020567911681951046
roof_system,0.00545452361441563
wall_structure,0.02083786291363059
mwfrs,0.022916823139999164
number_of_stories,0.0320346468143049
building_type,0.03755377408963323
Buildinglat,0.041281618694499714
roof_cover,0.08249252100536202
mindist,0.11841915620761703
hazards_present,0.12816232921380308
