feature,shap_importance
mindist,0.3559562810766376
year_built,0.23992025582330548
Buildinglong,0.05574728396962337
hazards_present,0.05033518542093182
Buildinglat,0.04241501490246297
roof_system,0.021611346944727113
wall_cladding,0.016358517978908492
roof_cover,0.015002088594030526
building_type,0.010602887477963063
wall_structure,0.010361822391533396
number_of_stories,0.010277543519947342
roof_substrate_type,0.007936803195429335
roof_shape,0.00764950395771824
foundation_type,0.006945591537274949
mwfrs,0.002725202126795477
wall_substrate,0.0012272640873207713
understory_pct_of_building_footprint,0.0
