feature,mean_importance
wall_cladding,-0.015634110260565402
foundation_type,-0.007152492792929621
mwfrs,-0.00261122077324627
wall_substrate,-0.0007193172255814506
roof_shape,-0.0005340809918056077
understory_pct_of_building_footprint,0.0011403990372763407
roof_cover,0.003699176891122935
wall_structure,0.006538267080056492
roof_substrate_type,0.00896583399025066
number_of_stories,0.013826048273151282
roof_system,0.019426392214530665
building_type,0.03082993886733463
Buildinglat,0.05723218039562141
Buildinglong,0.08961323094317475
hazards_present,0.13980205072942434
year_built,0.159372498025581
mindist,0.28490553401663143
