feature,mean_importance
wall_structure,-0.00917269432244181
"roof_cover_""Metal, standing seam""",-0.0067464092574200055
roof_shape_Gable,-0.003960752111523113
roof_shape_Gable/Hip Combo,-0.0030823148098312993
roof_cover_Asphalt shingles (laminated),-0.00040445685887542383
"roof_system_""Steel, cold formed""",-0.00027643572382567426
wall_substrate_Unknown,-0.00025208263086677895
roof_cover_Unknown,-0.0001309866852619912
"wall_substrate_""Wood, dimensional planks""",-4.439634435322581e-05
wall_substrate_None,0.0
wall_substrate_None at first floor Rc moment frame,0.0
wall_substrate_Insulated foam board,0.0
"wall_substrate_Not Applicable,Wood Beams",0.0
"roof_system_""Wood, rafter"",""Wood, trusses""",0.0
"roof_system_""Steel, cold formed"",""Steel, joists""",0.0
"roof_system_""Steel, cold formed"",Concrete slab",0.0
"roof_system_""Steel, hot rolled"",""Steel, joists""",0.0
"roof_system_""Steel, hot rolled"",""Wood, unknown""",0.0
roof_cover_Wood shingle,0.0
"roof_system_""Steel, hot rolled"",Z purlins",0.0
wall_substrate_Metal panels,0.0
"wall_substrate_""Wood, sheathing""",0.0
roof_system_Concrete slab,0.0
"wall_substrate_""Wood, sheathing (corners only)""",0.0
roof_substrate_type_Metal deck,0.0
roof_substrate_type_None,0.0
roof_substrate_type_Plywood,0.0
"roof_cover_""Metal, corrugated"",""Metal, standing seam""",0.0
"roof_cover_Asphalt shingles (3-tab),""Metal, standing seam""",0.0
"roof_cover_Asphalt shingles (laminated),""Metal, corrugated""",0.0
"roof_cover_Asphalt shingles (laminated),""Metal, standing seam""",0.0
roof_cover_Built-up without Gravel,0.0
roof_cover_Clay tiles,0.0
roof_cover_Metal shingles,0.0
roof_cover_Roll roofing,0.0
"roof_cover_Wood shake,Wood shingle",0.0
"roof_system_""Wood, trusses"",""Wood, rafter""",0.0
roof_substrate_type_Dimensional lumber,0.0
roof_cover_composite shingles,0.0
"roof_shape_Gable,Monoslope",0.0
"roof_shape_Gable,Hip",0.0
"roof_shape_Hip,Gable",0.0
roof_shape_Monoslope,0.0
roof_shape_Unknown,0.0
"roof_shape_Gable,Gambrel",0.0
foundation_type_Concrete piers support cast concrete slab on grade,0.0
foundation_type_Crawlspace,0.0
foundation_type_Ground anchors and strapping,0.0
foundation_type_Unreinforced masonry stem wall,0.0
"roof_shape_Flat,Gable",0.0
foundation_type_Reinforced masonry piers,0.0
foundation_type_Reinforced masonry stem wall,0.0
"foundation_type_Slab on Grate and Wood Piers, unknown height",0.0
"roof_shape_Complex,Hip",0.0
foundation_type_Unreinforced masonry piers,0.0
roof_shape_Arch,0.0
"foundation_type_Piers <= 8 ft, unstrapped",0.0
roof_shape_Gambrel,0.0
"roof_shape_Complex,Gable",4.7483313985186015e-05
"roof_system_""Steel, hot rolled""",0.000492323546850315
roof_shape_Complex,0.0004988951405056508
foundation_type_Wood Piers <= 8 ft,0.0005251350773482599
roof_shape_Flat,0.0007952395482223818
roof_substrate_type_Unknown,0.0008253505312594723
"roof_system_""Wood, rafter""",0.0015323386097154668
roof_substrate_type_Plywood/OSB,0.0016924973170296287
"roof_cover_""Metal, corrugated""",0.0020862987687607416
"roof_system_""Wood, trusses""",0.002473582070665259
roof_cover_Asphalt shingles (3-tab),0.0030631573823820092
"wall_substrate_""Wood, sheathing (continuous)""",0.0034218119973895788
understory_pct_of_building_footprint,0.00394168989498076
foundation_type_Wood Piers > 8 ft,0.004289065864907604
"roof_system_""Wood, unknown""",0.004616778575572589
roof_system_Unknown,0.00511416615057394
wall_substrate_Not Applicable,0.006982035916142148
foundation_type_Unknown,0.007744099594214316
roof_shape_Hip,0.009994016975915709
wall_cladding,0.010456803077910148
foundation_type_Cast-in-place concrete piers,0.011145672552725827
Buildinglong,0.01312107880826754
mwfrs,0.013138155601605606
foundation_type_Slab-on-grade,0.014386323845686989
"roof_system_""Steel, joists""",0.01856143123963294
number_of_stories,0.02233274229058697
building_type,0.02655068744255713
Buildinglat,0.06278416706609122
hazards_present,0.13897491272758034
year_built,0.16154544540062665
mindist,0.24241113426054223
