feature,mean_importance
number_of_stories_ratio_Buildinglat,-0.0020001809412029115
understory_pct_of_building_footprint_multiply_number_of_stories,-0.0008094245831054003
number_of_stories_ratio_understory_pct_of_building_footprint,-0.0005243026813469776
Buildinglat_ratio_number_of_stories,-0.0004417818774536286
wall_substrate,-0.00024234902252353585
Buildinglong_ratio_understory_pct_of_building_footprint,-5.322563180079065e-05
number_of_stories,0.0
roof_cover,5.7035324843601744e-05
understory_pct_of_building_footprint,8.335614231529398e-05
year_built_ratio_understory_pct_of_building_footprint,0.0001720047855684914
roof_substrate_type,0.00020374770736246716
understory_pct_of_building_footprint_sum_number_of_stories,0.00036674856489073984
wall_structure,0.0005794781952433326
Buildinglat_diff_number_of_stories,0.0009820888138734496
foundation_type,0.0010447983356722367
mwfrs,0.0018127412479192362
roof_system,0.0027404206722768444
roof_shape,0.0028737887226640614
building_type,0.003763912955685722
wall_cladding,0.0038193888915184714
Buildinglat,0.005908186362413881
number_of_stories_multiply_Buildinglat,0.00674502397568526
number_of_stories_sum_Buildinglat,0.007794319515161474
Buildinglong,0.009580493963545812
hazards_present,0.05045557612366793
year_built,0.15292477608210894
mindist,0.3624392725119239
