feature,shap_importance
mindist,0.34287341996726384
year_built,0.2024859601208001
hazards_present,0.06948790677808762
number_of_stories_multiply_Buildinglat,0.0455468256547878
Buildinglong,0.031241768698209913
Buildinglat,0.024970517067147743
number_of_stories_sum_Buildinglat,0.024553879922728047
foundation_type,0.017219202423445146
roof_cover,0.012900405622710597
Buildinglat_ratio_number_of_stories,0.01170867035031327
Buildinglat_diff_number_of_stories,0.011259656366653048
roof_system,0.010504908942942717
number_of_stories_ratio_Buildinglat,0.010403611094668924
roof_substrate_type,0.007601290511466136
wall_cladding,0.006862145439537048
building_type,0.005352086258201895
wall_structure,0.0039051185270848354
roof_shape,0.0013972578960884875
wall_substrate,0.0
understory_pct_of_building_footprint_multiply_number_of_stories,0.0
mwfrs,0.0
year_built_ratio_understory_pct_of_building_footprint,0.0
Buildinglong_ratio_understory_pct_of_building_footprint,0.0
number_of_stories_ratio_understory_pct_of_building_footprint,0.0
understory_pct_of_building_footprint,0.0
number_of_stories,0.0
understory_pct_of_building_footprint_sum_number_of_stories,0.0
