feature,mean_importance
roof_cover_Asphalt shingles (3-tab),-0.013682491814388964
roof_substrate_type_Plywood/OSB,-0.009957252186136101
foundation_type_Cast-in-place concrete piers,-0.008614139621999107
"roof_cover_""Metal, corrugated""",-0.007306359363954629
"roof_system_""Wood, unknown""",-0.005973436458020664
"roof_cover_""Metal, standing seam""",-0.005672614514326879
mwfrs,-0.004204078625981556
foundation_type_Slab-on-grade,-0.0029769193850645694
"wall_substrate_""Wood, sheathing (continuous)""",-0.002788482625194
roof_shape_Hip,-0.00206570527633696
"roof_system_""Steel, cold formed""",-0.0014411418565682065
"roof_system_""Wood, rafter""",-0.001315101536632568
"roof_system_""Steel, hot rolled""",-0.0011391969788975941
wall_substrate_Unknown,-0.0007322069789681862
foundation_type_Wood Piers > 8 ft,-0.0005130325921443469
roof_shape_Gable/Hip Combo,-0.00035133383729877286
"roof_shape_Complex,Gable",-0.0003030423982805175
foundation_type_Unknown,-0.0002971984195608623
roof_cover_Clay tiles,-2.5875803803243613e-05
"roof_system_""Steel, hot rolled"",""Wood, unknown""",0.0
wall_substrate_masonry ,0.0
"roof_system_""Steel, cold formed"",Concrete slab",0.0
"roof_system_""Steel, hot rolled"",""Steel, joists""",0.0
"roof_system_""Wood, rafter"",""Wood, trusses""",0.0
"roof_system_""Wood, trusses"",""Wood, rafter""",0.0
"roof_system_""Steel, cold formed"",""Steel, joists""",0.0
"roof_system_""Steel, hot rolled"",Z purlins",0.0
wall_substrate_None,0.0
roof_substrate_type_Dimensional lumber,0.0
"roof_cover_Wood shake,Wood shingle",0.0
roof_cover_Unknown,0.0
roof_cover_Tile Slate Roof Cover,0.0
roof_cover_Roll roofing,0.0
roof_cover_Red composite shingle,0.0
roof_cover_Other,0.0
roof_cover_Metal shingles,0.0
roof_cover_Built-up without Gravel,0.0
roof_cover_Built-up with Gravel,0.0
"roof_cover_Asphalt shingles (laminated),""Metal, standing seam""",0.0
"roof_cover_Asphalt shingles (laminated),""Metal, corrugated""",0.0
"roof_cover_Asphalt shingles (3-tab),""Metal, standing seam""",0.0
"roof_cover_""Metal, corrugated"",""Metal, standing seam""",0.0
roof_substrate_type_Plywood,0.0
wall_substrate_Thin aluminum siding,0.0
roof_substrate_type_None,0.0
roof_substrate_type_Metal deck,0.0
roof_system_Concrete slab,0.0
"wall_substrate_Not Applicable,Wood Beams",0.0
roof_cover_composite shingles,0.0
roof_cover_Wood shingle,0.0
roof_shape_Arch,0.0
"roof_shape_Complex,Hip",0.0
"roof_shape_Flat,Gable",0.0
"roof_shape_Gable,Gambrel",0.0
"roof_shape_Gable,Hip",0.0
"roof_shape_Gable,Monoslope",0.0
"roof_shape_Hip,Curved",0.0
"roof_shape_Hip,Gable",0.0
roof_shape_Unknown,0.0
foundation_type_Crawlspace,0.0
foundation_type_Ground anchors and strapping,0.0
roof_shape_Gambrel,0.0
foundation_type_helical anchors spaced irregulary,0.0
foundation_type_Reinforced masonry piers,0.0
wall_substrate_Metal panels,0.0
foundation_type_Reinforced masonry stem wall,0.0
wall_substrate_Insulated foam board,0.0
"foundation_type_Slab on Grate and Wood Piers, unknown height",0.0
foundation_type_Unreinforced masonry piers,0.0
"foundation_type_Piers <= 8 ft, unstrapped",0.0
foundation_type_Unreinforced masonry stem wall,0.0
roof_shape_Monoslope,3.525800063823859e-05
"wall_substrate_""Wood, dimensional planks""",0.00034012303632846574
foundation_type_Wood Piers <= 8 ft,0.0004173316875425659
roof_shape_Gable,0.0007638688598360588
understory_pct_of_building_footprint,0.0008225581913936075
"roof_system_""Steel, joists""",0.0020653739195911846
roof_cover_Asphalt shingles (laminated),0.002630664846476405
roof_shape_Complex,0.004316112530582039
roof_system_Unknown,0.006149706908133856
roof_substrate_type_Unknown,0.007696138034347699
wall_structure,0.01060053205915854
building_type,0.01281593894006825
roof_shape_Flat,0.012989962188636595
number_of_stories,0.01599336183246445
Buildinglong,0.016429705041296306
wall_cladding,0.017816408322889287
"roof_system_""Wood, trusses""",0.019111984673918815
wall_substrate_Not Applicable,0.02153072224444701
Buildinglat,0.03278730725165176
hazards_present,0.13402754633116123
year_built,0.21363871085042713
mindist,0.29168324082964614
