feature,mean_importance
Buildinglat,-0.00396579689112877
foundation_type,-0.0008007491160057611
understory_pct_of_building_footprint,-0.00037334632081305054
wall_substrate,-8.111379987378875e-05
wall_cladding,0.0001515793732298931
roof_shape,0.00037891351307441925
roof_substrate_type,0.0009878554351787638
number_of_stories,0.001729033130430313
wall_structure,0.0022866735921427406
roof_system,0.0024229561814509194
mwfrs,0.0027451979086430267
building_type,0.0032632098118398735
roof_cover,0.0038092632236943038
Buildinglong,0.010037368613772201
hazards_present,0.07574170661733555
year_built,0.1260694586075312
mindist,0.22972049261507962
