feature,mean_importance
8_Xgboost_GoldenFeatures_prediction,-0.008908925963108527
4_Default_Xgboost_categorical_mix_GoldenFeatures_SelectedFeatures_prediction,-0.006708011136155045
15_NeuralNetwork_SelectedFeatures_prediction,-0.0034955927528313112
Buildinglat,-0.0011167623959868812
roof_cover,-0.0009280194785338703
roof_system,-0.0005398179655524471
21_NeuralNetwork_SelectedFeatures_prediction,-0.0004537588113531665
Buildinglong,-0.0004336507850453364
6_Default_RandomForest_prediction,-6.491309912233234e-05
20_RandomForest_SelectedFeatures_prediction,-5.899698027025391e-05
24_NeuralNetwork_prediction,-1.9329982393667677e-05
5_Default_NeuralNetwork_prediction,-4.021868680537111e-06
understory_pct_of_building_footprint,-2.2204460492503132e-17
foundation_type,-2.2204460492503132e-17
roof_substrate_type,0.0
22_NeuralNetwork_SelectedFeatures_prediction,0.0
wall_substrate,0.0
mindist,0.0
3_Linear_prediction,0.0
building_type,0.0
4_Default_Xgboost_prediction,0.0
wall_cladding,0.0
number_of_stories,0.0
16_NeuralNetwork_SelectedFeatures_prediction,2.2204460492503132e-17
23_NeuralNetwork_prediction,4.4408920985006264e-17
17_NeuralNetwork_prediction,0.00012507862664914437
13_DecisionTree_prediction,0.00014414011303587326
14_DecisionTree_prediction,0.00016312396539917007
11_RandomForest_prediction,0.0005226731163973542
wall_structure,0.0006897893113206211
9_RandomForest_SelectedFeatures_prediction,0.0006975849919606425
12_RandomForest_prediction,0.000728321870111337
6_Default_RandomForest_GoldenFeatures_prediction,0.0008812761927190049
roof_shape,0.0008998520996179149
18_NeuralNetwork_prediction,0.0017461768181740833
year_built,0.001861261752346821
hazards_present,0.00193534448594197
mwfrs,0.0020523093426052076
2_DecisionTree_prediction,0.002486001444180963
10_RandomForest_SelectedFeatures_prediction,0.0025985818109820038
6_Default_RandomForest_SelectedFeatures_prediction,0.0038728877446438715
7_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.004878942575870448
5_Default_NeuralNetwork_SelectedFeatures_prediction,0.006711917308128701
4_Default_Xgboost_categorical_mix_GoldenFeatures_prediction,0.007267782662046596
4_Default_Xgboost_categorical_mix_prediction,0.008679672066947686
4_Default_Xgboost_GoldenFeatures_prediction,0.020270906942498713
19_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.10660972556217804
Ensemble_prediction,0.19871346245599944
