feature,mean_importance
Buildinglat,-0.004531688863260141
understory_pct_of_building_footprint,0.00026855112205279583
mwfrs,0.0006251072824838388
roof_shape,0.000869451208264227
roof_cover,0.0017685131957933197
wall_substrate,0.0018807234865929612
wall_cladding,0.0022353086683131185
number_of_stories,0.0036633140069446623
building_type,0.003784880163208193
foundation_type,0.0071300448660004175
wall_structure,0.0075032295871654275
roof_substrate_type,0.008291378681749673
roof_system,0.014035468048628052
Buildinglong,0.02850459027389689
hazards_present,0.06400022155640687
year_built,0.10753372766048444
mindist,0.18234366650099446
