feature,mean_importance
wall_structure,-0.003848347916063544
roof_substrate_type,-0.00257894097241671
4_Default_Xgboost_GoldenFeatures_prediction,-0.0019194993191608666
4_Default_Xgboost_categorical_mix_GoldenFeatures_SelectedFeatures_prediction,-0.0010783070804151861
4_Default_Xgboost_categorical_mix_prediction,-0.0006217122619970982
foundation_type,-0.0006097085075315256
9_RandomForest_SelectedFeatures_prediction,-0.0005854583567218352
roof_cover,-0.0005139255562363054
3_Linear_prediction,-0.0004834207351588349
22_NeuralNetwork_SelectedFeatures_prediction,-0.00042000028140245507
6_Default_RandomForest_prediction,-0.00023054186431676894
roof_system,-0.00011189778665934291
roof_shape,4.445910264205821e-05
year_built,6.860583141283793e-05
6_Default_RandomForest_SelectedFeatures_prediction,0.00010265810397314112
Buildinglat,0.00038702715792404696
Buildinglong,0.00045616258194833834
20_RandomForest_SelectedFeatures_prediction,0.0005235063991128497
13_DecisionTree_prediction,0.0005244727331269016
5_Default_NeuralNetwork_SelectedFeatures_prediction,0.0006372470837585186
mindist,0.001212201866969509
23_NeuralNetwork_prediction,0.0012905466613166495
14_DecisionTree_prediction,0.0015865557561510536
wall_substrate,0.0018289297809538363
7_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0022043750698601317
21_NeuralNetwork_SelectedFeatures_prediction,0.0023219226858464336
18_NeuralNetwork_prediction,0.0025476332073271603
4_Default_Xgboost_categorical_mix_GoldenFeatures_prediction,0.002875296162920593
5_Default_NeuralNetwork_prediction,0.0030512055191707745
16_NeuralNetwork_SelectedFeatures_prediction,0.003285613865604975
2_DecisionTree_prediction,0.003647862916755984
24_NeuralNetwork_prediction,0.004128836957169901
hazards_present,0.004600644068397863
Ensemble_prediction,0.005175073180708667
10_RandomForest_SelectedFeatures_prediction,0.005611381079464084
4_Default_Xgboost_prediction,0.0057641235238721665
17_NeuralNetwork_prediction,0.00576918470105281
11_RandomForest_prediction,0.005842847363199155
8_Xgboost_GoldenFeatures_prediction,0.005903487906825067
6_Default_RandomForest_GoldenFeatures_prediction,0.00621021602863292
12_RandomForest_prediction,0.007487517850481318
19_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.007772752243623571
15_NeuralNetwork_SelectedFeatures_prediction,0.0087204270129549
