feature,mean_importance
21_NeuralNetwork_SelectedFeatures_prediction,-0.006042042196419439
wall_substrate,-0.003840199749886364
Buildinglat,-0.002285140026425081
23_NeuralNetwork_prediction,-0.0012035393539996941
14_DecisionTree_prediction,-0.0010753130609454042
roof_shape,-0.0008046087525079404
13_DecisionTree_prediction,-0.0005025903210913229
Buildinglong,-0.00030637144950491636
22_NeuralNetwork_SelectedFeatures_prediction,0.00010536283682505143
16_NeuralNetwork_SelectedFeatures_prediction,0.00017117604441400092
6_Default_RandomForest_GoldenFeatures_prediction,0.0005028661914232124
9_RandomForest_SelectedFeatures_prediction,0.0007185255054936946
roof_system,0.0009395361903665522
year_built,0.0010360609298299516
building_type,0.0010916907789538465
18_NeuralNetwork_prediction,0.0011858897603792106
15_NeuralNetwork_SelectedFeatures_prediction,0.0017340873250690115
wall_cladding,0.0020741887661002377
number_of_stories,0.0025451203433114467
11_RandomForest_prediction,0.003139310634435022
5_Default_NeuralNetwork_prediction,0.003917266264149189
hazards_present,0.004470135502595951
roof_cover,0.004912717940619382
8_Xgboost_GoldenFeatures_prediction,0.004914469188641668
6_Default_RandomForest_prediction,0.0050308000103993274
5_Default_NeuralNetwork_SelectedFeatures_prediction,0.005278146005818507
20_RandomForest_SelectedFeatures_prediction,0.0055278656842861155
mwfrs,0.006599582259225323
12_RandomForest_prediction,0.007387419302616616
foundation_type,0.00895002314430351
24_NeuralNetwork_prediction,0.009123144671013416
understory_pct_of_building_footprint,0.009273902630445696
4_Default_Xgboost_categorical_mix_prediction,0.009630470635544919
2_DecisionTree_prediction,0.010049900504501007
4_Default_Xgboost_prediction,0.011697465209723857
17_NeuralNetwork_prediction,0.012474131119070897
7_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.015223504263335763
4_Default_Xgboost_categorical_mix_GoldenFeatures_prediction,0.016802825940052623
3_Linear_prediction,0.016878073561055106
wall_structure,0.019260982497879685
10_RandomForest_SelectedFeatures_prediction,0.02220541150434685
6_Default_RandomForest_SelectedFeatures_prediction,0.02272147478758042
Ensemble_prediction,0.023094347419624395
4_Default_Xgboost_GoldenFeatures_prediction,0.02862380653820411
roof_substrate_type,0.029779457244963847
mindist,0.049846064702859835
4_Default_Xgboost_categorical_mix_GoldenFeatures_SelectedFeatures_prediction,0.08912966818642509
19_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.09708738353623833
