feature,mean_importance
18_NeuralNetwork_prediction,-0.005443325423394829
12_RandomForest_prediction,-0.004596199020662039
24_NeuralNetwork_prediction,-0.0034090275891568655
mindist,-0.0029346830833988148
6_Default_RandomForest_SelectedFeatures_prediction,-0.002934526861071207
4_Default_Xgboost_categorical_mix_GoldenFeatures_SelectedFeatures_prediction,-0.002646329296409888
23_NeuralNetwork_prediction,-0.002454645241932241
20_RandomForest_SelectedFeatures_prediction,-0.0023210769317418833
22_NeuralNetwork_SelectedFeatures_prediction,-0.0019286944907149107
6_Default_RandomForest_prediction,-0.0016733052183502517
6_Default_RandomForest_GoldenFeatures_prediction,-0.001516911034659163
13_DecisionTree_prediction,-0.0015072727067771297
3_Linear_prediction,-0.0014565226447940337
16_NeuralNetwork_SelectedFeatures_prediction,-0.0012111143355871378
Buildinglong,-0.0010860146748642662
Buildinglat,-0.0008894635199623524
10_RandomForest_SelectedFeatures_prediction,-0.0008710577326989322
roof_cover,-0.00039905059477665097
2_DecisionTree_prediction,-0.00019165440340902508
wall_structure,0.00012250479425104376
wall_substrate,0.00017668089840696676
foundation_type,0.0006218954134794119
hazards_present,0.0007246797674321126
14_DecisionTree_prediction,0.000736424680995218
9_RandomForest_SelectedFeatures_prediction,0.0008669027125045581
15_NeuralNetwork_SelectedFeatures_prediction,0.0009472368580398128
roof_shape,0.001139930342821205
roof_system,0.0012795174295244572
roof_substrate_type,0.001345729899897341
17_NeuralNetwork_prediction,0.0013666451269635615
21_NeuralNetwork_SelectedFeatures_prediction,0.0015167770817597682
5_Default_NeuralNetwork_prediction,0.0029030643418999523
11_RandomForest_prediction,0.0032229731326004043
4_Default_Xgboost_categorical_mix_GoldenFeatures_prediction,0.0036146602852847433
4_Default_Xgboost_prediction,0.00405088661515185
year_built,0.004827535653626991
4_Default_Xgboost_categorical_mix_prediction,0.0064867289262513506
4_Default_Xgboost_GoldenFeatures_prediction,0.011318893938726626
7_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.01233272244530168
8_Xgboost_GoldenFeatures_prediction,0.014972994613587698
19_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.020200185533001024
5_Default_NeuralNetwork_SelectedFeatures_prediction,0.023751950200865714
Ensemble_prediction,0.2535870256849688
