feature,mean_importance
wall_cladding,-0.01925705417455421
roof_shape,-0.0073249305015105955
wall_substrate,0.00024144194880815206
wall_structure,0.00124921195346277
roof_cover,0.0029161566112615887
number_of_stories,0.004110613664998786
roof_substrate_type,0.017316463333512288
mwfrs,0.020475100622496512
year_built,0.021412902695146552
understory_pct_of_building_footprint,0.025978555185418008
Buildinglong,0.02869306879621538
building_type,0.04221817795316159
foundation_type,0.05986150194979258
Buildinglat,0.07987186636687879
roof_system,0.08079825758134898
hazards_present,0.12299173485914217
mindist,0.5071941879650944
