feature,shap_importance
mindist,0.25188510036607886
building_type,0.12790059478238439
Buildinglong,0.08845045518481344
wall_structure,0.06763542112389868
hazards_present,0.06436368158965827
Buildinglat,0.0565457900599933
wall_cladding,0.04714615652008873
wall_substrate,0.03324488545753884
foundation_type,0.032188642724183494
roof_substrate_type,0.0295787745165898
understory_pct_of_building_footprint,0.027376269675277037
roof_cover,0.017404714364696813
mwfrs,0.016764450947653775
roof_shape,0.006749514148518254
number_of_stories,0.006467729201741645
year_built,0.0009216625535601775
roof_system,0.00080064479077522
