feature,mean_importance
mwfrs,-0.022708173851263468
wall_structure,-0.010491623346620483
Buildinglat,-0.005371402686016125
roof_shape,-0.005065295772403266
understory_pct_of_building_footprint,-0.00044200999028674024
wall_substrate,0.00033783495315384824
roof_system,0.0011859381842157957
roof_cover,0.0021896127430713675
roof_substrate_type,0.004464604367174751
Buildinglong,0.007127877399483085
foundation_type,0.007834570651808948
wall_cladding,0.010259474996652584
building_type,0.010609525582908685
number_of_stories,0.033773136685805595
hazards_present,0.11727411906971481
year_built,0.1771566350608001
mindist,0.18934703078997
