feature,mean_importance
number_of_stories_sum_Buildinglat,-0.017278167700274617
roof_cover,-0.007132392436573265
Buildinglong_multiply_Buildinglat,-0.0067471268049290375
roof_shape,-0.002919831936863693
foundation_type,-0.0025190558999423685
number_of_stories,-0.0017901630047495454
wall_substrate,-0.00043280704329555774
understory_pct_of_building_footprint_diff_mindist,-0.00042230995868393074
understory_pct_of_building_footprint,-0.00034041267846087744
number_of_stories_multiply_Buildinglat,0.0
wall_structure,0.0005757929887655111
number_of_stories_ratio_year_built,0.0017803153949858875
Buildinglat_diff_Buildinglong,0.0019598169197313276
wall_cladding,0.0020218044721791893
mindist,0.002542216291216359
mwfrs,0.002990546244229475
mindist_ratio_year_built,0.004402004400001358
roof_substrate_type,0.00623324537886405
Buildinglat,0.01012111319630038
roof_system,0.010294108709212834
number_of_stories_diff_mindist,0.011048735139719202
building_type,0.027879839636821523
Buildinglong,0.03480003581823039
year_built_ratio_number_of_stories,0.03678544248793503
year_built,0.07468866825985128
hazards_present,0.09863113658266734
mindist_multiply_year_built,0.23257156753997613
