feature,mean_importance
"roof_system_""Wood, trusses""",-0.006744789090440651
Buildinglat,-0.006562268834967555
roof_shape_Hip,-0.006051530669591143
Buildinglat_diff_Buildinglong,-0.0058512272619931196
wall_cladding,-0.004512343780252448
understory_pct_of_building_footprint,-0.0018215227755704166
"roof_system_""Wood, rafter""",-0.001598291826989695
roof_shape_Gable/Hip Combo,-0.0012698295930455128
roof_shape_Gable,-0.0007279798789161962
foundation_type_Cast-in-place concrete piers,-0.0005094519476163129
roof_substrate_type_Plywood/OSB,-0.0005026307669890873
"roof_cover_""Metal, standing seam""",-0.00043561100675357787
wall_substrate_Unknown,-1.382123142996683e-05
roof_system_Concrete slab,0.0
roof_cover_composite shingles,0.0
foundation_type_helical anchors spaced irregulary,0.0
roof_cover_Red composite shingle,0.0
roof_substrate_type_Dimensional lumber,0.0
foundation_type_Unreinforced masonry stem wall,0.0
foundation_type_Unreinforced masonry piers,0.0
roof_substrate_type_Metal deck,0.0
roof_substrate_type_None,0.0
"foundation_type_Slab on Grate and Wood Piers, unknown height",0.0
foundation_type_Wood Piers > 8 ft,0.0
"wall_substrate_""Wood, sheathing (corners only)""",0.0
wall_substrate_Insulated foam board,0.0
foundation_type_Reinforced masonry piers,0.0
wall_substrate_Metal panels,0.0
wall_substrate_None,0.0
wall_substrate_None at first floor Rc moment frame,0.0
"roof_system_""Wood, trusses"",""Wood, rafter""",0.0
"wall_substrate_Not Applicable,Wood Beams",0.0
wall_substrate_Thin aluminum siding,0.0
wall_substrate_masonry ,0.0
"roof_system_""Steel, cold formed""",0.0
"roof_system_""Steel, cold formed"",Concrete slab",0.0
"roof_system_""Steel, hot rolled""",0.0
"roof_system_""Steel, hot rolled"",""Steel, joists""",0.0
"roof_system_""Steel, hot rolled"",""Wood, unknown""",0.0
"roof_system_""Steel, hot rolled"",Z purlins",0.0
"wall_substrate_""Wood, sheathing""",0.0
"foundation_type_Piers <= 8 ft, unstrapped",0.0
foundation_type_Concrete piers support cast concrete slab on grade,0.0
foundation_type_Crawlspace,0.0
roof_cover_Tile Slate Roof Cover,0.0
roof_cover_Other,0.0
roof_cover_Metal shingles,0.0
roof_cover_Clay tiles,0.0
roof_cover_Built-up without Gravel,0.0
roof_cover_Built-up with Gravel,0.0
"roof_cover_Asphalt shingles (laminated),""Metal, standing seam""",0.0
"roof_cover_Asphalt shingles (laminated),""Metal, corrugated""",0.0
"roof_cover_Asphalt shingles (3-tab),""Metal, standing seam""",0.0
"roof_cover_""Metal, corrugated"",""Metal, standing seam""",0.0
"roof_cover_""Metal, corrugated""",0.0
roof_shape_Arch,0.0
foundation_type_Ground anchors and strapping,0.0
"roof_shape_Complex,Gable",0.0
roof_substrate_type_Plywood,0.0
"roof_shape_Flat,Gable",0.0
"roof_shape_Gable,Gambrel",0.0
"roof_shape_Gable,Hip",0.0
"roof_shape_Gable,Monoslope",0.0
roof_shape_Gambrel,0.0
"roof_cover_Wood shake,Wood shingle",0.0
"roof_shape_Hip,Curved",0.0
"roof_shape_Hip,Gable",0.0
roof_cover_Wood shingle,0.0
roof_shape_Unknown,0.0
roof_cover_Roll roofing,0.0
"roof_shape_Complex,Hip",0.0
roof_shape_Monoslope,0.0
number_of_stories,2.101775557934449e-05
"wall_substrate_""Wood, dimensional planks""",4.621002832028154e-05
roof_cover_Unknown,5.031950299285715e-05
roof_shape_Complex,0.00036772942313101353
foundation_type_Slab-on-grade,0.0004053547661260648
number_of_stories_multiply_Buildinglat,0.0004985709672103988
foundation_type_Unknown,0.0005153034146094138
roof_shape_Flat,0.0008347855563116014
roof_system_Unknown,0.0012959299275173697
Buildinglong_multiply_Buildinglat,0.0016587805876587813
"wall_substrate_""Wood, sheathing (continuous)""",0.0019835339689768584
"roof_system_""Wood, unknown""",0.002164262507820802
roof_cover_Asphalt shingles (3-tab),0.003545972934704822
mwfrs,0.0037554518478094987
understory_pct_of_building_footprint_diff_mindist,0.004112551313038138
wall_structure,0.004252893444583727
building_type,0.004534233092043616
foundation_type_Wood Piers <= 8 ft,0.004575350008497003
number_of_stories_sum_Buildinglat,0.004763008878732489
number_of_stories_diff_mindist,0.004780969361895715
number_of_stories_ratio_year_built,0.005132156162745138
"roof_system_""Steel, joists""",0.005648550971332633
year_built_ratio_number_of_stories,0.006294268695890004
roof_cover_Asphalt shingles (laminated),0.006631061696288176
random_feature,0.007660745570595262
wall_substrate_Not Applicable,0.011261188110602838
mindist_ratio_year_built,0.02671181410424648
roof_substrate_type_Unknown,0.02855740110889713
mindist,0.041533532812496124
Buildinglong,0.052980648108886544
hazards_present,0.11350117001210547
year_built,0.13010144959423509
mindist_multiply_year_built,0.14486638338538851
