feature,mean_importance
roof_system,-0.009546055263843223
number_of_stories,-0.006864551448445955
understory_pct_of_building_footprint,-0.004228539854524249
wall_cladding,-0.004023507786469538
Buildinglat,-0.0032045150798736487
mwfrs,-0.0028804437696798857
roof_cover,-0.0007902509780414402
year_built,0.004006957911216835
Buildinglong,0.010218744479702701
roof_substrate_type,0.010912173628591804
building_type,0.011875605748587037
roof_shape,0.013197585906495935
wall_substrate,0.015903534244244934
hazards_present,0.017621565263093643
foundation_type,0.021978186231895826
wall_structure,0.026408259001201473
mindist,0.12961053410229773
