feature,mean_importance
4_Default_Xgboost_categorical_mix_GoldenFeatures_SelectedFeatures_prediction,-0.01866484396002286
12_RandomForest_prediction,-0.01719979873374524
Ensemble_prediction,-0.014751186158097474
4_Default_Xgboost_prediction,-0.012967744714381047
19_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.010370164576618057
10_RandomForest_SelectedFeatures_prediction,-0.009866313880291555
roof_substrate_type,-0.006347727593451457
roof_cover,-0.0054479077474991035
mindist,-0.003087022209292467
5_Default_NeuralNetwork_SelectedFeatures_prediction,-0.003047566116613032
14_DecisionTree_prediction,-0.0025510415297898435
23_NeuralNetwork_prediction,-0.0019057567889662953
2_DecisionTree_prediction,-0.0011928540858245906
mwfrs,-0.0011470468430749392
roof_shape,-0.001101948916546114
Buildinglat,-0.0005301006425643795
foundation_type,-0.0004262977910837407
Buildinglong,-0.0003715015539400568
9_RandomForest_SelectedFeatures_prediction,-0.00032601302383161723
22_NeuralNetwork_SelectedFeatures_prediction,-0.00027021383577490176
number_of_stories,-1.5256410657737973e-05
wall_cladding,0.00019350682001837428
year_built,0.00021993773029875817
7_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0005217936377426291
understory_pct_of_building_footprint,0.0013741901086172792
wall_structure,0.0017912966462046765
3_Linear_prediction,0.0017979912902096995
building_type,0.0024781131089518737
15_NeuralNetwork_SelectedFeatures_prediction,0.0031114695463824392
hazards_present,0.0033860077731630244
5_Default_NeuralNetwork_prediction,0.003739482867567245
roof_system,0.004192914400961367
18_NeuralNetwork_prediction,0.004687259124190301
16_NeuralNetwork_SelectedFeatures_prediction,0.005499594642634031
11_RandomForest_prediction,0.007119537699404566
4_Default_Xgboost_GoldenFeatures_prediction,0.007167412913168336
17_NeuralNetwork_prediction,0.007392404421646637
wall_substrate,0.00796255524446674
4_Default_Xgboost_categorical_mix_prediction,0.010201956223654208
24_NeuralNetwork_prediction,0.01026683352347133
6_Default_RandomForest_prediction,0.012643892210464358
13_DecisionTree_prediction,0.015162128921827778
20_RandomForest_SelectedFeatures_prediction,0.015682046744067434
21_NeuralNetwork_SelectedFeatures_prediction,0.015999292294964863
6_Default_RandomForest_SelectedFeatures_prediction,0.016472294899668328
4_Default_Xgboost_categorical_mix_GoldenFeatures_prediction,0.018571772642103967
8_Xgboost_GoldenFeatures_prediction,0.024160869380105376
6_Default_RandomForest_GoldenFeatures_prediction,0.030747137263854363
