feature,mean_importance
wall_cladding,-0.001438561784398895
Buildinglat_diff_Buildinglong,-0.0008538961940173673
roof_cover,-0.0007824223726345947
mwfrs,-0.0007453157033016522
understory_pct_of_building_footprint,-0.00047931346708658397
mindist_ratio_year_built,-0.0004700178353957751
number_of_stories,-5.7967384582524595e-05
roof_shape,0.0
understory_pct_of_building_footprint_diff_mindist,0.0004567524544417667
foundation_type,0.0009185337412536132
wall_substrate,0.0009922542036362003
Buildinglong_multiply_Buildinglat,0.001026332941650754
wall_structure,0.0011692330095312454
number_of_stories_diff_mindist,0.002390722735175732
roof_substrate_type,0.003989356933197774
Buildinglat,0.006481815265155455
building_type,0.0065141045268542145
number_of_stories_multiply_Buildinglat,0.008457193902797555
roof_system,0.01127511346284853
year_built_ratio_number_of_stories,0.011329557234308618
number_of_stories_ratio_year_built,0.011392617331910082
number_of_stories_sum_Buildinglat,0.013219196221772412
Buildinglong,0.0243001065218571
mindist,0.025582064738181233
year_built,0.06632595406313928
hazards_present,0.08426698077471391
mindist_multiply_year_built,0.26143420476471374
