feature,shap_importance
Ensemble_prediction,0.28729660151235875
19_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.14963233117179792
4_Default_Xgboost_categorical_mix_GoldenFeatures_SelectedFeatures_prediction,0.11484208973475117
4_Default_Xgboost_prediction,0.08023331442850151
8_Xgboost_GoldenFeatures_prediction,0.04145078275726532
5_Default_NeuralNetwork_SelectedFeatures_prediction,0.03916095334257764
15_NeuralNetwork_SelectedFeatures_prediction,0.032431320588208155
4_Default_Xgboost_GoldenFeatures_prediction,0.02530647822774067
20_RandomForest_SelectedFeatures_prediction,0.01932810034270477
7_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.018556014402933224
roof_substrate_type,0.01676423819933298
21_NeuralNetwork_SelectedFeatures_prediction,0.014447231007939182
14_DecisionTree_prediction,0.013948177554427595
18_NeuralNetwork_prediction,0.011353327093810999
wall_substrate,0.010787690792060264
year_built_ratio_number_of_stories,0.008768197058886918
24_NeuralNetwork_prediction,0.0075442472580793925
Buildinglong_multiply_Buildinglat,0.007404382321000768
year_built,0.0070670444760952056
6_Default_RandomForest_SelectedFeatures_prediction,0.005131732869876839
hazards_present,0.004421649198838306
23_NeuralNetwork_prediction,0.004302965924615362
number_of_stories_ratio_year_built,0.003760004032580442
wall_structure,0.0036218926381950583
16_NeuralNetwork_SelectedFeatures_prediction,0.0036172453714208544
17_NeuralNetwork_prediction,0.0024029866914790387
Buildinglong,0.0020216830052783396
roof_system,0.0016676656664202576
wall_cladding,0.00024241339957439313
5_Default_NeuralNetwork_prediction,5.826447809281345e-19
22_NeuralNetwork_SelectedFeatures_prediction,0.0
mindist_ratio_year_built,0.0
3_Linear_prediction,0.0
mindist_multiply_year_built,0.0
Buildinglat_diff_Buildinglong,0.0
number_of_stories_sum_Buildinglat,0.0
number_of_stories_multiply_Buildinglat,0.0
number_of_stories_diff_mindist,0.0
Buildinglat,0.0
12_RandomForest_prediction,0.0
2_DecisionTree_prediction,0.0
13_DecisionTree_prediction,0.0
building_type,0.0
number_of_stories,0.0
understory_pct_of_building_footprint,0.0
roof_shape,0.0
mwfrs,0.0
foundation_type,0.0
roof_cover,0.0
mindist,0.0
4_Default_Xgboost_categorical_mix_GoldenFeatures_prediction,0.0
4_Default_Xgboost_categorical_mix_prediction,0.0
10_RandomForest_SelectedFeatures_prediction,0.0
6_Default_RandomForest_prediction,0.0
6_Default_RandomForest_GoldenFeatures_prediction,0.0
9_RandomForest_SelectedFeatures_prediction,0.0
11_RandomForest_prediction,0.0
understory_pct_of_building_footprint_diff_mindist,0.0
