feature,shap_importance
4_Default_Xgboost_categorical_mix_GoldenFeatures_prediction,0.13069381909939223
19_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.11109609558779587
Ensemble_prediction,0.09180323581423712
4_Default_Xgboost_categorical_mix_GoldenFeatures_SelectedFeatures_prediction,0.08391121231984781
4_Default_Xgboost_categorical_mix_prediction,0.08250545534274824
5_Default_NeuralNetwork_SelectedFeatures_prediction,0.05964120819128657
7_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.057916050575105044
4_Default_Xgboost_prediction,0.0427313912570219
8_Xgboost_GoldenFeatures_prediction,0.01571573651601912
year_built,0.010168137465557845
roof_shape,0.009650920162846136
4_Default_Xgboost_GoldenFeatures_prediction,0.008451446676153768
10_RandomForest_SelectedFeatures_prediction,0.007512651028255234
21_NeuralNetwork_SelectedFeatures_prediction,0.007425927078635714
22_NeuralNetwork_SelectedFeatures_prediction,0.007208987580949739
16_NeuralNetwork_SelectedFeatures_prediction,0.007071072819430448
Buildinglong,0.0066681009009337735
6_Default_RandomForest_GoldenFeatures_prediction,0.006059896826354796
roof_system,0.005814688938940381
14_DecisionTree_prediction,0.005785161364573288
13_DecisionTree_prediction,0.005758618787479682
9_RandomForest_SelectedFeatures_prediction,0.004423433928242967
11_RandomForest_prediction,0.004090176346589785
18_NeuralNetwork_prediction,0.004026615851073916
mindist,0.003798973622021139
24_NeuralNetwork_prediction,0.0036766810742511363
15_NeuralNetwork_SelectedFeatures_prediction,0.003557504688297971
12_RandomForest_prediction,0.003521945389190537
6_Default_RandomForest_SelectedFeatures_prediction,0.0034305491427919755
hazards_present,0.0033974474931621392
Buildinglat,0.0029413935498164108
23_NeuralNetwork_prediction,0.0028512125205633673
17_NeuralNetwork_prediction,0.002692667638401413
6_Default_RandomForest_prediction,0.0024700468184018602
20_RandomForest_SelectedFeatures_prediction,0.0022889250784140663
5_Default_NeuralNetwork_prediction,0.0018135617694306193
3_Linear_prediction,0.0016845645041490551
roof_substrate_type,0.0014961355466200368
roof_cover,0.001458196452146162
wall_structure,0.001126756426542685
2_DecisionTree_prediction,0.0011077244336851503
foundation_type,0.001015887873155378
wall_substrate,0.0007387159012645464
