feature,mean_importance
9_RandomForest_SelectedFeatures_prediction,-0.0041756505054926455
24_NeuralNetwork_prediction,-0.0026866810903880102
Buildinglong,-0.0025989454234772503
12_RandomForest_prediction,-0.002018184686025348
6_Default_RandomForest_GoldenFeatures_prediction,-0.0014809529137072008
22_NeuralNetwork_SelectedFeatures_prediction,-0.0014201503877676158
16_NeuralNetwork_SelectedFeatures_prediction,-0.0011572717267523513
5_Default_NeuralNetwork_prediction,-0.0010637018985502956
mwfrs,-0.0010326394993204868
Buildinglat,-0.0008379282206728789
roof_shape,-0.0008210211525980782
mindist,-0.0006951063234561072
building_type,-0.0006691136351196558
year_built,-0.0005633756173452076
13_DecisionTree_prediction,-0.00030593161435845675
foundation_type,-0.000290049663958003
20_RandomForest_SelectedFeatures_prediction,-0.00026588646346941135
10_RandomForest_SelectedFeatures_prediction,-0.0002499842992059298
3_Linear_prediction,-0.00022287549234421
11_RandomForest_prediction,-0.00020630889861652512
wall_structure,-0.00013468074516722605
number_of_stories,-4.8638810881529435e-05
18_NeuralNetwork_prediction,6.412736441072653e-05
6_Default_RandomForest_prediction,0.00013951393983087091
2_DecisionTree_prediction,0.00016319657339103344
17_NeuralNetwork_prediction,0.00017473568903845216
14_DecisionTree_prediction,0.00023071727459613722
roof_substrate_type,0.0002997515454863153
understory_pct_of_building_footprint,0.0003304936255451585
wall_substrate,0.00038140386151177543
23_NeuralNetwork_prediction,0.0005011157157819746
roof_system,0.0007454040928746908
15_NeuralNetwork_SelectedFeatures_prediction,0.0008334312574691082
21_NeuralNetwork_SelectedFeatures_prediction,0.0008881982297116675
6_Default_RandomForest_SelectedFeatures_prediction,0.000978514143158704
wall_cladding,0.0009902104398468391
roof_cover,0.0010955560497140082
hazards_present,0.002368014031951282
4_Default_Xgboost_prediction,0.002729704564748947
4_Default_Xgboost_GoldenFeatures_prediction,0.0027626722618432353
4_Default_Xgboost_categorical_mix_GoldenFeatures_prediction,0.008335025735703971
8_Xgboost_GoldenFeatures_prediction,0.01669844780611396
4_Default_Xgboost_categorical_mix_prediction,0.01812599857993278
5_Default_NeuralNetwork_SelectedFeatures_prediction,0.018844679507353846
4_Default_Xgboost_categorical_mix_GoldenFeatures_SelectedFeatures_prediction,0.033371641396324446
7_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.036307736586536035
Ensemble_prediction,0.05430976457878256
19_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.08732330702527716
