feature,mean_importance
mindist_multiply_year_built,-0.010101986333596002
22_NeuralNetwork_SelectedFeatures_prediction,-0.009288300249398218
Buildinglong,-0.00863626829379871
roof_shape_Gable,-0.007157625539182133
5_Default_NeuralNetwork_prediction,-0.006618546642251588
14_DecisionTree_prediction,-0.006322551602749571
18_NeuralNetwork_prediction,-0.005562084378564647
21_NeuralNetwork_SelectedFeatures_prediction,-0.005427193683444176
4_Default_Xgboost_prediction,-0.005404193407248936
10_RandomForest_SelectedFeatures_prediction,-0.003521711078071532
number_of_stories_diff_mindist,-0.0021952081741503982
"roof_cover_""Metal, standing seam""",-0.0017819232560709387
year_built_ratio_number_of_stories,-0.001027979066463125
6_Default_RandomForest_SelectedFeatures_prediction,-0.0009398020689879161
13_DecisionTree_prediction,-0.0006198628965648379
wall_structure,-0.00035089703499961987
2_DecisionTree_prediction,-0.00010423288681729037
foundation_type_Wood Piers <= 8 ft,0.0
"roof_system_""Steel, joists""",0.0
"wall_substrate_""Wood, sheathing (continuous)""",8.338977930717472e-05
wall_substrate_Not Applicable,0.00015958772756126117
number_of_stories_sum_Buildinglat,0.0005431431027036471
17_NeuralNetwork_prediction,0.00211656322849052
roof_substrate_type_Unknown,0.0024586740552635655
11_RandomForest_prediction,0.0025959767790225906
Buildinglong_multiply_Buildinglat,0.003257383929508717
23_NeuralNetwork_prediction,0.0038279183670020477
year_built,0.0043280334206522
6_Default_RandomForest_prediction,0.0045990634608588325
12_RandomForest_prediction,0.00483186316394717
mindist_ratio_year_built,0.005110966742575518
mindist,0.005771112998090522
3_Linear_prediction,0.0061566953560121766
roof_shape_Hip,0.006626879112402273
9_RandomForest_SelectedFeatures_prediction,0.007624741458845574
6_Default_RandomForest_GoldenFeatures_prediction,0.008918784105146394
4_Default_Xgboost_categorical_mix_prediction,0.00945359054271
20_RandomForest_SelectedFeatures_prediction,0.010704564175375842
Buildinglat,0.010731396238013335
4_Default_Xgboost_categorical_mix_GoldenFeatures_SelectedFeatures_prediction,0.011096782090207724
24_NeuralNetwork_prediction,0.01114132594900923
4_Default_Xgboost_GoldenFeatures_prediction,0.012133864171931541
16_NeuralNetwork_SelectedFeatures_prediction,0.012726729733315257
number_of_stories_ratio_year_built,0.015645435363186033
15_NeuralNetwork_SelectedFeatures_prediction,0.0157156388561156
hazards_present,0.02079262045358954
Ensemble_prediction,0.027454436693736685
4_Default_Xgboost_categorical_mix_GoldenFeatures_prediction,0.0397832504364531
8_Xgboost_GoldenFeatures_prediction,0.05063193952772658
7_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.056215499890172584
5_Default_NeuralNetwork_SelectedFeatures_prediction,0.07542717850354556
19_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.16159858485357737
