feature,shap_importance
year_built,0.264481641549408
mindist,0.2617506392800505
Unnamed0,0.12703876144694726
number_of_stories,0.10730210856541017
building_type_SingleFamily,0.056561809116822154
roof_cover_Asphaltshingleslaminated,0.05263836234016464
roof_shape_Hip,0.03526533313012126
roof_substrate_type_Unknown,0.034343234330745785
foundation_type_Slabongrade,0.029591545757152865
understory_pct_of_building_footprint,0.023774068801207787
wall_substrate_Unknown,0.021000891869822486
roof_cover_Asphaltshingles3tab,0.01936312119772348
roof_substrate_type_PlywoodOSB,0.016695803458333436
roof_cover_Metalstandingseam,0.015459007564550625
wall_structure_nan,0.012679069905542349
roof_system_nan,0.010924939041166575
wall_substrate_NotApplicable,0.010912128570236298
roof_shape_Gable,0.01069958976854882
roof_system_Woodtrusses,0.008729818740617476
roof_shape_nan,0.008034478333595836
roof_substrate_type_nan,0.0074688065851212255
wall_substrate_Woodsheathingcontinuous,0.0065852135899909375
foundation_type_nan,0.006443082274936713
roof_system_Unknown,0.006239208532313396
wall_structure_Woodframe,0.006114242327547723
mwfrs_RoofDiaphragmwoodWallDiaphragmwood,0.005399994331353788
roof_shape_GableHipCombo,0.0052660003345728025
foundation_type_WoodPiers_le_8ft,0.005260895935502563
building_type_MultiFamily,0.0050061989892569705
foundation_type_Unknown,0.0045923952645756175
wall_cladding_Brick,0.004445550454271223
wall_cladding_Stucco,0.003953234805425344
building_type_GeneralArea,0.0034838203815609273
wall_cladding_VinylSidingunknown,0.0032896863462647517
roof_system_Woodunknown,0.003258358537414334
roof_shape_Flat,0.0029057539653293924
mwfrs_nan,0.0028905454915134758
wall_cladding_FiberCementBoard,0.002494809187408994
foundation_type_Castinplaceconcretepiers,0.0024752516038415036
roof_shape_Complex,0.002427986601299027
wall_cladding_nan,0.002308897768727312
wall_substrate_nan,0.002181649817843212
wall_cladding_BrickVinylSidingunknown,0.002123753884314499
roof_system_Steelhotrolled,0.0021063982665362733
roof_cover_nan,0.0015917198690532793
roof_cover_Metalcorrugated,0.0015770784244439526
wall_cladding_VinylSidingstandard,0.0015708103034213006
wall_cladding_WoodBoards,0.0005581162678987519
wall_cladding_Corrugatedsteelpanels,0.0004554378364266592
building_type_Warehouse,0.00035719020402790277
wall_structure_Steelmomentresistingframe,0.00025518403086870873
wall_cladding_BrickVinylSidingstandard,0.00021034685237645147
wall_structure_Unknown,9.896464058998521e-05
wall_cladding_Cedarstone,0.0
wall_cladding_Masonryconcrete,0.0
wall_cladding_FiberCementBoardPlywoodSiding,0.0
wall_cladding_PlywoodSidingWoodShakeShingle,0.0
wall_cladding_WoodPlankSiding,0.0
wall_cladding_BrickStone,0.0
wall_cladding_FiberCementBoardVinylSidingstandard,0.0
wall_cladding_WoodPanelSiding,0.0
wall_cladding_StuccoVinylSidingunknown,0.0
wall_cladding_FiberCementBoardWoodBoardsWoodShakeShingle,0.0
