feature,mean_importance
roof_system_Steelcoldformed,-0.0016704221284455033
roof_cover_Metalcorrugated,-0.0012583599714928173
foundation_type_WoodPiers_le_8ft,-0.0012458105341206505
mwfrs_RoofDiaphragmwood,-0.0008220171181387625
roof_system_Woodtrusses,-0.0007314998164179354
foundation_type_Unknown,-0.0007248449482057274
roof_shape_GableHip,-0.0006887877304029733
roof_shape_Gambrel,-0.0005096503154290888
mwfrs_RoofDiaphragmwoodWallDiaphragmwood,-0.0004686569221040715
foundation_type_nan,-0.0004514783621566654
roof_shape_Gable,-0.00041916228508531717
wall_substrate_nan,-0.0004085385184525725
roof_shape_nan,-0.0003525009444976801
roof_cover_nan,-0.00028241280489065267
foundation_type_Castinplaceconcretepiers,-0.0002601253213658783
roof_shape_Flat,-0.00023755627704433735
wall_cladding_BrickVinylSidingstandard,-0.0002246556206247252
roof_shape_Complex,-0.00017657432559268216
mwfrs_Unknown,-0.00016681932876851934
wall_structure_SteelmomentresistingframeSteelbracedframe,-0.00012231066433197047
wall_cladding_BrickVinylSidingunknown,-5.6085643085235226e-05
mwfrs_RoofDiaphragmsteelWallDiaphragmsteel,-5.499152802326268e-05
roof_cover_Claytiles,-5.669657071560863e-06
roof_shape_GableHipCombo,-1.3499861002852497e-06
wall_cladding_VinylSidingunknownWoodBoards,0.0
wall_cladding_FiberCementBoardVinylSidingunknownWoodBoards,0.0
wall_cladding_WoodBoardsConcreteblock,0.0
wall_cladding_StuccoWoodBoards,0.0
wall_cladding_Masonryconcrete,0.0
wall_cladding_BrickStucco,0.0
wall_cladding_FiberCementBoardWoodBoardsconcreteblocks,0.0
wall_cladding_Cedarwood,0.0
wall_cladding_FiberCementBoardVinylSidingstandard,0.0
wall_cladding_FiberCementBoardWoodBoards,0.0
wall_cladding_VinylSidinghighwindrated,0.0
wall_cladding_VinylSidingunknownWoodShakeShingle,0.0
wall_cladding_FiberCementBoardPlywoodSidingWoodShakeShingle,0.0
wall_substrate_NoneatfirstfloorRcmomentframe,0.0
wall_cladding_StuccoWoodBoardsStone,0.0
roof_cover_Woodshingle,0.0
wall_substrate_Insulatedfoamboard,0.0
roof_cover_Concretetiles,0.0
wall_substrate_Woodsheathingcornersonly,0.0
wall_substrate_NotApplicableWoodBeams,0.0
wall_substrate_None,0.0
wall_substrate_Thinaluminumsiding,0.0
wall_substrate_Metalpanels,0.0
wall_substrate_masonry,0.0
wall_cladding_WoodBoards,0.0
wall_cladding_BrickStone,0.0
wall_cladding_BrickWoodBoards,0.0
wall_cladding_VinylSidingunknownconcreteblocks,0.0
wall_cladding_WoodShakeShingle,0.0
wall_cladding_StuccoVinylSidingunknown,0.0
wall_cladding_Cedarstone,0.0
wall_cladding_PlywoodSiding,0.0
wall_cladding_EIFS,0.0
wall_cladding_FiberCementBoardVinylSidingunknown,0.0
wall_cladding_PlywoodSidingStucco,0.0
wall_cladding_FiberCementBoardPlywoodSiding,0.0
wall_cladding_VinylSidingstandardWoodShakeShingle,0.0
wall_cladding_concreteblocks,0.0
wall_cladding_PlywoodSidingWoodShakeShingle,0.0
wall_cladding_WoodBoardsWoodShakeShingle,0.0
wall_cladding_WoodPanelSiding,0.0
roof_system_Concreteslab,0.0
roof_system_Unknown,0.0
roof_system_WoodrafterWoodtrusses,0.0
roof_system_Steelhotrolled,0.0
roof_system_SteelcoldformedConcreteslab,0.0
roof_system_SteelhotrolledWoodunknown,0.0
roof_system_SteelhotrolledZpurlins,0.0
roof_substrate_type_Dimensionallumber,0.0
roof_substrate_type_Metaldeck,0.0
wall_cladding_ConcreteBlock,0.0
roof_cover_Unknown,0.0
roof_cover_Redcompositeshingle,0.0
roof_cover_reinforcedconcretestucco,0.0
roof_cover_MetalcorrugatedMetalstandingseam,0.0
roof_cover_Metalshingles,0.0
roof_cover_compositeshingles,0.0
roof_cover_WoodshakeWoodshingle,0.0
roof_cover_UnknownNoclearpicturesofroof,0.0
roof_cover_Rollroofing,0.0
roof_cover_BuiltupwithoutGravel,0.0
roof_cover_TileSlateRoofCover,0.0
wall_cladding_WoodPlankSiding,0.0
wall_cladding_CurtainWall,0.0
wall_cladding_VinylSidingunknownStone,0.0
wall_cladding_FiberCementBoardWoodBoardsWoodShakeShingle,0.0
wall_cladding_Concretemasonryunits,0.0
wall_cladding_concretemasonryunits,0.0
wall_cladding_SheetMetal,0.0
wall_cladding_BrickStuccoWoodBoards,0.0
wall_cladding_Cedar,0.0
wall_cladding_BrickWoodShakeShingle,0.0
wall_cladding_FiberCementBoardCorrugatedsteelpanels,0.0
wall_cladding_FiberCementBoardconcreteblock,0.0
wall_cladding_StuccoStonebrick,0.0
wall_cladding_BrickPlywoodSiding,0.0
wall_cladding_WoodBoardsmasonryconcreteblocks,0.0
wall_cladding_CorrugatedsteelpanelsStucco,0.0
wall_cladding_EIFSWoodBoards,0.0
wall_cladding_BrickVinylSidingsinglewythe,0.0
wall_cladding_BrickCorrugatedsteelpanels,0.0
wall_cladding_FiberCementBoardWoodShakeShingle,0.0
wall_cladding_Brickaboveavggrayshingle,0.0
wall_cladding_StuccoConcreteBlock,0.0
wall_cladding_AluminumsidingConcreteblock,0.0
