feature,shap_importance
mindist,0.3104738805548209
year_built,0.1859781555762959
number_of_stories,0.06091408260550128
roof_substrate_type_Unknown,0.05488754887862881
Unnamed0,0.0489317666187518
building_type_SingleFamily,0.037770353839159165
wall_cladding_FiberCementBoard,0.0157109785315349
foundation_type_WoodPiers_le_8ft,0.008561349382597653
roof_substrate_type_PlywoodOSB,0.007579096986311794
understory_pct_of_building_footprint,0.006631834054065746
wall_substrate_Unknown,0.006136228876882471
roof_cover_Asphaltshingleslaminated,0.004283067606090688
roof_substrate_type_nan,0.004165382736032359
mwfrs_RoofDiaphragmwood,0.003719537490922806
foundation_type_Slabongrade,0.0035778575114116425
wall_structure_nan,0.003365649356159246
wall_cladding_FiberCementBoardVinylSidingunknown,0.0029998010249882826
building_type_MultiFamily,0.002802561835315874
building_type_Warehouse,0.002626825299994732
roof_shape_Hip,0.0022499428146954977
mwfrs_RoofDiaphragmwoodWallDiaphragmwood,0.0021493150905040914
roof_cover_Metalstandingseam,0.002056832949889208
roof_shape_Gable,0.0018905642952580543
foundation_type_Unreinforcedmasonrystemwall,0.0018109970007617157
wall_substrate_Woodsheathingcontinuous,0.0017834025704927359
roof_shape_ComplexGable,0.0015548577369043047
wall_structure_Steelmomentresistingframe,0.001512192484744892
wall_cladding_WoodBoards,0.0015086304410145792
mwfrs_nan,0.0014342918152641562
wall_cladding_VinylSidingstandard,0.001122652218679776
roof_shape_Complex,0.0011105654126216749
wall_cladding_VinylSidingunknown,0.00109785635205511
mwfrs_RoofDiaphragmsteel,0.0010958724113724896
foundation_type_nan,0.0010301059308932767
roof_cover_Metalcorrugated,0.000823451303032751
wall_cladding_AluminumsidingConcreteblock,0.0007764677888211962
roof_shape_GableHipCombo,0.0007754814084544894
wall_cladding_Stucco,0.0007578538592221793
wall_cladding_Brick,0.0007346233306324646
wall_cladding_VinylSidingunknownconcreteblocks,0.0007065025692554623
roof_cover_Asphaltshingles3tab,0.0007041462088918779
wall_cladding_BrickFiberCementBoard,0.0006912283313426781
roof_system_Woodunknown,0.0006907717907692088
mwfrs_WallDiaphragmwood,0.0006880339649180961
roof_system_Steeljoists,0.000682263786518946
foundation_type_Unknown,0.0006558900546650607
roof_system_nan,0.0006446608636583344
wall_cladding_PlywoodSiding,0.0005782574481222537
wall_structure_Woodframe,0.0005537847906116538
wall_substrate_Wooddimensionalplanks,0.0005038746602626698
roof_system_Woodtrusses,0.0004941936115945032
wall_cladding_CurtainWall,0.0004623441739826148
roof_shape_Flat,0.0004300202624676674
wall_cladding_BrickVinylSidingunknown,0.00041815551395628554
wall_structure_SteelmomentresistingframeSteelbracedframe,0.00039920329315831034
wall_cladding_BrickStone,0.0003971408558643737
roof_cover_nan,0.0003471464349535423
roof_shape_Gambrel,0.00034590190047368934
wall_cladding_Corrugatedsteelpanels,0.0003236432220841941
roof_system_Steelcoldformed,0.000283066212697903
wall_cladding_SheetMetal,0.00022452155945498862
foundation_type_Castinplaceconcretepiers,0.00019704199831246903
wall_substrate_nan,0.00016875914857970576
roof_shape_nan,0.00015552430455424967
wall_structure_Masonryunknown,0.00015486429334956678
mwfrs_RoofDiaphragmsteelWallDiaphragmsteel,0.00015417563638489993
roof_system_Unknown,0.00014537622940649362
wall_cladding_FiberCementBoardPlywoodSiding,0.0001315840778671094
building_type_Retail,0.00012743815668893573
roof_cover_MetalcorrugatedMetalstandingseam,0.00012743723248502715
wall_cladding_BrickVinylSidingstandard,0.0001202522440637416
mwfrs_RoofDiaphragmwoodWallDiaphragmmasonry,9.897110873356706e-05
wall_cladding_FiberCementBoardCorrugatedsteelpanels,8.319359128158056e-05
building_type_Condominium10units,7.689880314970976e-05
mwfrs_Unknown,7.380532953527551e-05
