feature,shap_importance
mindist,0.30505618
year_built,0.20960999
building_type_SingleFamily,0.15472287
Unnamed0,0.13697863
number_of_stories,0.11995111
roof_substrate_type_Unknown,0.042435657
wall_structure_Woodframe,0.028891461
foundation_type_WoodPiers_le_8ft,0.028294018
roof_cover_Asphaltshingleslaminated,0.02741712
wall_cladding_FiberCementBoard,0.023090813
wall_substrate_Woodsheathingcontinuous,0.018846273
foundation_type_Slabongrade,0.018841287
roof_cover_Metalstandingseam,0.01842779
roof_substrate_type_PlywoodOSB,0.01807923
roof_shape_Gable,0.015939048
understory_pct_of_building_footprint,0.014139962
wall_substrate_Unknown,0.013714884
roof_shape_Flat,0.012825346
roof_shape_Hip,0.0121918805
roof_substrate_type_nan,0.01033384
mwfrs_RoofDiaphragmwood,0.009476622
mwfrs_RoofDiaphragmwoodWallDiaphragmmasonry,0.008879386
roof_cover_Asphaltshingles3tab,0.007615254
wall_cladding_VinylSidingunknown,0.007273791
wall_structure_nan,0.0068220673
foundation_type_Unknown,0.0064504514
roof_system_nan,0.006173072
roof_shape_Complex,0.005994725
wall_cladding_VinylSidingstandard,0.0053242166
roof_system_Steeljoists,0.0051595066
foundation_type_nan,0.0051592244
roof_shape_GableHipCombo,0.0049629323
roof_system_Woodunknown,0.004838257
wall_cladding_Stucco,0.0046032807
foundation_type_Castinplaceconcretepiers,0.0042766365
wall_cladding_BrickVinylSidingstandard,0.0042723212
roof_shape_GableHip,0.003870006
building_type_Retail,0.003578326
mwfrs_Unknown,0.003250767
wall_cladding_Brick,0.0031251865
wall_cladding_nan,0.003122023
roof_system_Woodtrusses,0.0031194084
mwfrs_RoofDiaphragmwoodWallDiaphragmwood,0.0030696173
roof_shape_ComplexGable,0.0030335768
wall_cladding_PlywoodSidingWoodShakeShingle,0.0028217055
roof_cover_nan,0.002416296
wall_cladding_BrickVinylSidingunknown,0.0023455035
building_type_MultiFamily,0.0022855396
building_type_Unknown,0.0021740247
wall_structure_SteelmomentresistingframeSteelbracedframe,0.002123454
mwfrs_nan,0.0020977277
foundation_type_WoodPiers_g_8ft,0.0019254937
wall_substrate_NotApplicable,0.0018651702
roof_shape_nan,0.001818852
wall_cladding_VinylSidingunknownconcreteblocks,0.0017909687
wall_structure_Steelmomentresistingframe,0.0016336935
wall_substrate_Wooddimensionalplanks,0.00144807
wall_structure_Unknown,0.0013948368
mwfrs_RoofDiaphragmconcreteWallDiaphragmmasonry,0.0013354701
roof_system_Woodrafter,0.0013313836
wall_structure_Masonryunknown,0.0012831449
roof_shape_FlatGable,0.0011493017
mwfrs_RoofDiaphragmsteelWallDiaphragmsteel,0.001037283
wall_substrate_nan,0.0009538969
building_type_Condominium10units,0.0009298612
wall_substrate_masonry,0.00091436313
roof_shape_Gambrel,0.0008968099
wall_cladding_BrickFiberCementBoard,0.0008706529
roof_system_Steelhotrolled,0.0007204013
foundation_type_helicalanchorsspacedirregulary,0.0007110916
building_type_Religious,0.0006864516
building_type_Warehouse,0.0006423742
wall_structure_Steelbracedframe,0.0005422054
wall_cladding_FiberCementBoardPlywoodSiding,0.00051201636
roof_system_Steelcoldformed,0.00044840178
wall_cladding_WoodBoards,0.00038675938
wall_cladding_FiberCementBoardWoodShakeShingle,0.00036379864
roof_system_Unknown,0.00035193856
roof_shape_ComplexHip,0.00033652238
building_type_Government,0.00032364362
wall_cladding_FiberCementBoardconcreteblock,0.00028562403
wall_cladding_BrickStucco,0.00025097706
roof_cover_MetalcorrugatedMetalstandingseam,0.00021562964
wall_structure_Concretemomentresistingframe,0.00020501627
building_type_Educational,0.00020301613
wall_cladding_BrickStone,0.00018672108
roof_cover_Unknown,0.00016794035
building_type_Apartment10units,0.00015610836
wall_cladding_FiberCementBoardVinylSidingunknownWoodBoards,0.00014216086
building_type_Servicestation,0.000110401415
roof_cover_Asphaltshingles3tabMetalstandingseam,0.00010699127
roof_substrate_type_Dimensionallumber,0.00010402723
mwfrs_RoofDiaphragmsteelWallDiaphragmsteelMomentFrame,9.846198e-05
mwfrs_RoofDiaphragmwoodWallDiaphragmconcrete,9.52618e-05
wall_cladding_CorrugatedsteelpanelsStucco,9.489086e-05
