feature,mean_importance
wall_cladding_FiberCementBoard_diff_mindist,-0.012901616163137074
roof_cover_Asphaltshingleslaminated_diff_mindist,-0.008997183509716922
roof_cover_Metalstandingseam_diff_mindist,-0.007349732645538931
mindist,-0.007029718560207332
roof_shape_Gable,-0.006144567301017844
building_type_MultiFamily_diff_mindist,-0.005527864097003077
wall_substrate_Woodsheathingcontinuous_diff_mindist,-0.005441302933154035
mindist_sum_roof_shape_Complex,-0.004884479347160076
roof_substrate_type_PlywoodOSB,-0.004880964192587145
foundation_type_Unknown_diff_mindist,-0.004511064477330984
mindist_sum_roof_cover_Unknown,-0.004415621084458143
foundation_type_Slabongrade,-0.004005666720177969
wall_cladding_WoodBoards,-0.0037787794561750855
wall_cladding_FiberCementBoard,-0.0024407872633029014
roof_cover_Metalstandingseam,-0.0019383352027252166
wall_cladding_VinylSidingunknown,-0.0015441446227810961
roof_system_Woodunknown,-0.0014259666560937356
wall_cladding_Stucco,-0.0012143110537823354
understory_pct_of_building_footprint,-0.0010015543989984055
mindist_sum_mwfrs_RoofDiaphragmwoodWallDiaphragmwood,-0.0007387885730047117
roof_shape_Complex,-0.0006393739256757236
wall_cladding_BrickVinylSidingunknown,-0.0004701688082232369
wall_cladding_BrickVinylSidingstandard,-0.00018764309982359783
building_type_GeneralArea,-9.133382895081255e-05
roof_shape_nan,-6.678360603582512e-05
wall_cladding_VinylSidingunknownconcreteblocks,0.0
wall_cladding_VinylSidingunknownWoodShakeShingle,0.0
wall_cladding_StuccoWoodBoards,0.0
wall_cladding_FiberCementBoardWoodBoardsconcreteblocks,0.0
wall_cladding_Cedarwood,0.0
wall_cladding_FiberCementBoardWoodBoards,0.0
wall_cladding_VinylSidinghighwindrated,0.0
wall_cladding_VinylSidingunknownWoodBoards,0.0
wall_cladding_FiberCementBoardVinylSidingstandard,0.0
wall_cladding_FiberCementBoardPlywoodSiding,0.0
wall_cladding_Masonryconcrete,0.0
wall_substrate_Thinaluminumsiding,0.0
wall_cladding_PlywoodSidingWoodShakeShingle,0.0
wall_cladding_WoodPlankSiding,0.0
wall_cladding_WoodPanelSiding,0.0
wall_cladding_FiberCementBoardWoodBoardsWoodShakeShingle,0.0
wall_cladding_Concretemasonryunits,0.0
wall_cladding_concretemasonryunits,0.0
wall_cladding_BrickStucco,0.0
wall_cladding_WoodBoardsConcreteblock,0.0
wall_cladding_Unknown,0.0
wall_cladding_concreteblocks,0.0
wall_cladding_Corrugatedsteelpanels,0.0
wall_cladding_Aluminumsiding,0.0
wall_cladding_WoodShakeShingle,0.0
wall_cladding_BrickWoodBoards,0.0
wall_cladding_StuccoVinylSidingunknown,0.0
wall_cladding_nan,0.0
wall_substrate_masonry,0.0
wall_cladding_Cedarstone,0.0
wall_cladding_WoodBoardsWoodShakeShingle,0.0
wall_cladding_PlywoodSiding,0.0
wall_cladding_BrickFiberCementBoard,0.0
wall_cladding_EIFS,0.0
wall_substrate_Metalpanels,0.0
wall_cladding_FiberCementBoardVinylSidingunknown,0.0
wall_cladding_PlywoodSidingStucco,0.0
