feature,shap_importance
mindist,0.36750254
year_built,0.20713745
Unnamed0,0.11218755
number_of_stories,0.106702015
roof_substrate_type_Unknown,0.09550181
building_type_SingleFamily,0.0927693
understory_pct_of_building_footprint,0.04122658
roof_cover_Asphaltshingleslaminated,0.02881621
roof_substrate_type_PlywoodOSB,0.027034692
wall_structure_nan,0.026738992
roof_shape_Hip,0.023609636
roof_cover_Metalstandingseam,0.018317308
wall_substrate_Woodsheathingcontinuous,0.017813
roof_cover_Asphaltshingles3tab,0.017699666
foundation_type_Slabongrade,0.01658236
wall_cladding_WoodBoards,0.013727882
wall_substrate_Unknown,0.013180815
roof_shape_Gable,0.008455291
roof_cover_Metalcorrugated,0.007946062
wall_cladding_Stucco,0.007909698
wall_cladding_FiberCementBoard,0.007551195
roof_shape_ComplexGable,0.007030109
mwfrs_nan,0.006791305
roof_system_nan,0.0064094225
mwfrs_RoofDiaphragmwoodWallDiaphragmmasonry,0.0061011114
foundation_type_WoodPiers_le_8ft,0.0057178303
wall_structure_Woodframe,0.0054517123
mwfrs_RoofDiaphragmwood,0.0052331295
roof_system_Woodunknown,0.0050038146
wall_cladding_PlywoodSidingWoodShakeShingle,0.0048678275
building_type_Retail,0.004725615
wall_cladding_Brick,0.0042170044
foundation_type_nan,0.0041048406
mwfrs_RoofDiaphragmwoodWallDiaphragmwood,0.0040032095
wall_cladding_FiberCementBoardVinylSidingunknown,0.0038920224
wall_substrate_nan,0.0038844906
wall_cladding_VinylSidingstandard,0.0037432185
roof_system_Woodtrusses,0.003539305
foundation_type_Unreinforcedmasonrystemwall,0.0032773789
roof_shape_GableHipCombo,0.003258163
foundation_type_Unknown,0.002921982
wall_cladding_Unknown,0.0028322167
wall_cladding_VinylSidingunknown,0.0027406234
building_type_GeneralArea,0.002724462
roof_cover_nan,0.0026879215
roof_system_Steeljoists,0.002678682
wall_cladding_BrickVinylSidingstandard,0.0025838404
roof_shape_Flat,0.0024873633
wall_cladding_PlywoodSiding,0.0024020714
wall_cladding_BrickVinylSidingunknown,0.0023898073
wall_cladding_BrickFiberCementBoard,0.0022100946
mwfrs_WallDiaphragmwood,0.0018879863
roof_shape_nan,0.0017643445
wall_cladding_Aluminumsiding,0.001637791
roof_substrate_type_nan,0.0015889556
roof_shape_GableHip,0.0015601618
roof_shape_Complex,0.0014434818
wall_substrate_Wooddimensionalplanks,0.0013682913
wall_cladding_Corrugatedsteelpanels,0.0013658089
wall_substrate_masonry,0.0013498759
wall_cladding_BrickStone,0.0011444413
building_type_MultiFamily,0.0011259562
foundation_type_Castinplaceconcretepiers,0.0010683605
wall_cladding_WoodShakeShingle,0.001061481
roof_system_Steelcoldformed,0.0010450839
mwfrs_RoofDiaphragmsteel,0.0007842995
wall_cladding_VinylSidingunknownconcreteblocks,0.0007440693
wall_structure_Steelmomentresistingframe,0.0007068451
building_type_Professional,0.00066014746
building_type_DetachedGarage,0.000565324
foundation_type_Groundanchorsandstrapping,0.0005266947
wall_structure_Masonryunknown,0.00047603738
roof_shape_Arch,0.00045276253
mwfrs_RoofDiaphragmconcreteWallDiaphragmmasonry,0.0004086074
mwfrs_Unknown,0.00039336935
wall_structure_Steelbracedframe,0.00035746561
building_type_Servicestation,0.0003497351
wall_cladding_StuccoWoodBoardsStone,0.00034133904
building_type_Shed,0.0002736821
roof_cover_Asphaltshingles3tabMetalstandingseam,0.00026801185
roof_cover_Redcompositeshingle,0.00025123367
wall_cladding_EIFS,0.0002182937
wall_cladding_VinylSidinghighwindrated,0.00020242434
wall_cladding_FiberCementBoardVinylSidingunknownWoodBoards,0.00020223875
roof_shape_GableMonoslope,0.00018025046
wall_cladding_FiberCementBoardPlywoodSiding,0.00017208059
building_type_HotelMotel,0.00012133904
roof_system_WoodrafterWoodtrusses,0.000114583665
wall_structure_Masonryreinforced,9.9956815e-05
wall_cladding_BrickWoodBoards,9.94029e-05
wall_cladding_Masonryconcrete,9.8015764e-05
foundation_type_Crawlspace,8.35332e-05
wall_cladding_CorrugatedsteelpanelsStucco,8.048039e-05
wall_structure_Masonryunreinforced,6.252307e-05
wall_cladding_BrickStuccoWoodBoards,6.113201e-05
roof_shape_ComplexHip,5.8408084e-05
roof_substrate_type_Metaldeck,5.408627e-05
building_type_Office,4.0007846e-05
roof_shape_GableGambrel,3.8228714e-05
building_type_Religious,3.239909e-05
wall_cladding_VinylSidingunknownStone,3.1663865e-05
wall_cladding_WoodBoardsWoodShakeShingle,0.0
wall_cladding_FiberCementBoardWoodBoardsWoodShakeShingle,0.0
wall_cladding_concretemasonryunits,0.0
wall_cladding_FiberCementBoardWoodBoards,0.0
wall_cladding_Concretemasonryunits,0.0
roof_cover_Other,0.0
wall_cladding_WoodPanelSiding,0.0
wall_cladding_WoodPlankSiding,0.0
roof_cover_AsphaltshingleslaminatedMetalcorrugated,0.0
wall_cladding_VinylSidingunknownWoodBoards,0.0
wall_cladding_FiberCementBoardVinylSidingstandard,0.0
wall_cladding_BrickStucco,0.0
roof_cover_Concretetiles,0.0
wall_cladding_SheetMetal,0.0
wall_cladding_FiberCementBoardWoodShakeShingle,0.0
roof_cover_Woodshingle,0.0
roof_cover_BuiltupwithoutGravel,0.0
roof_system_Concreteslab,0.0
wall_cladding_FiberCementBoardWoodBoardsconcreteblocks,0.0
roof_cover_compositeshingles,0.0
roof_system_Unknown,0.0
roof_system_Woodrafter,0.0
roof_system_Steelhotrolled,0.0
