feature,mean_importance
wall_substrate_Woodsheathingcontinuous,-0.007376599993658228
roof_cover_Metalstandingseam,-0.00710161283654176
roof_substrate_type_PlywoodOSB,-0.005434738842597819
mwfrs_RoofDiaphragmwoodWallDiaphragmwood,-0.004688368367760765
understory_pct_of_building_footprint,-0.0033291988472644142
roof_shape_Complex,-0.002656771168643335
roof_system_Woodunknown,-0.002439295605903369
wall_cladding_WoodBoards,-0.0019593290976507973
roof_system_Woodtrusses,-0.0019449683211289815
building_type_Warehouse,-0.001681078293659355
wall_cladding_Corrugatedsteelpanels,-0.0011965453208798715
building_type_MultiFamily,-0.0010307060973603344
wall_cladding_Stucco,-0.0008282194379545249
mwfrs_RoofDiaphragmwood,-0.0007785470025214236
wall_cladding_VinylSidingunknown,-0.0006036236737295253
mwfrs_RoofDiaphragmsteelWallDiaphragmsteel,-0.0004794321876907981
roof_system_Woodrafter,-0.0004174198804279605
wall_cladding_BrickFiberCementBoard,-0.00035264989167473895
mwfrs_RoofDiaphragmwoodWallDiaphragmwoodWallDiaphragmconcrete,-2.421285307936394e-05
foundation_type_Unknown,-1.1909291660705535e-05
wall_substrate_NoneatfirstfloorRcmomentframe,0.0
wall_cladding_Unknown,0.0
wall_cladding_FiberCementBoardVinylSidingunknownWoodBoards,0.0
wall_cladding_WoodBoardsConcreteblock,0.0
wall_cladding_FiberCementBoardWoodBoards,0.0
wall_cladding_StuccoWoodBoards,0.0
wall_cladding_FiberCementBoardWoodBoardsconcreteblocks,0.0
wall_cladding_Cedarwood,0.0
wall_cladding_FiberCementBoardPlywoodSidingWoodShakeShingle,0.0
wall_cladding_VinylSidinghighwindrated,0.0
wall_cladding_VinylSidingunknownWoodBoards,0.0
wall_cladding_FiberCementBoardVinylSidingstandard,0.0
wall_cladding_BrickStucco,0.0
wall_cladding_Masonryconcrete,0.0
wall_cladding_FiberCementBoardPlywoodSiding,0.0
wall_cladding_VinylSidingunknownWoodShakeShingle,0.0
wall_cladding_BrickStone,0.0
wall_cladding_EIFS,0.0
wall_cladding_VinylSidingstandardWoodShakeShingle,0.0
roof_cover_Woodshingle,0.0
roof_cover_Concretetiles,0.0
wall_substrate_Woodsheathingcornersonly,0.0
wall_substrate_NotApplicableWoodBeams,0.0
wall_substrate_None,0.0
wall_substrate_Thinaluminumsiding,0.0
wall_substrate_Metalpanels,0.0
wall_substrate_masonry,0.0
wall_cladding_BrickVinylSidingunknownWoodShakeShingle,0.0
wall_cladding_StuccoWoodBoardsStone,0.0
wall_cladding_BrickWoodBoards,0.0
wall_cladding_VinylSidingunknownconcreteblocks,0.0
wall_cladding_WoodShakeShingle,0.0
wall_cladding_StuccoVinylSidingunknown,0.0
wall_cladding_BrickVinylSidingstandard,0.0
wall_cladding_Cedarstone,0.0
wall_cladding_PlywoodSiding,0.0
wall_cladding_PlywoodSidingWoodShakeShingle,0.0
wall_cladding_FiberCementBoardVinylSidingunknown,0.0
wall_cladding_PlywoodSidingStucco,0.0
wall_cladding_concreteblocks,0.0
wall_cladding_WoodPlankSiding,0.0
wall_cladding_WoodBoardsWoodShakeShingle,0.0
wall_cladding_FiberCementBoardWoodBoardsWoodShakeShingle,0.0
roof_system_Steelcoldformed,0.0
roof_system_SteelcoldformedConcreteslab,0.0
roof_system_SteelhotrolledWoodunknown,0.0
roof_system_SteelhotrolledZpurlins,0.0
roof_substrate_type_Dimensionallumber,0.0
roof_substrate_type_None,0.0
roof_substrate_type_Metaldeck,0.0
roof_cover_nan,0.0
roof_cover_Unknown,0.0
roof_cover_TileSlateRoofCover,0.0
roof_cover_AsphaltshingleslaminatedMetalstandingseam,0.0
roof_cover_Claytiles,0.0
roof_cover_Redcompositeshingle,0.0
roof_cover_reinforcedconcretestucco,0.0
roof_cover_Metalshingles,0.0
roof_cover_Asphaltshingles3tabMetalstandingseam,0.0
roof_cover_compositeshingles,0.0
roof_cover_WoodshakeWoodshingle,0.0
roof_cover_UnknownNoclearpicturesofroof,0.0
roof_cover_Rollroofing,0.0
roof_cover_BuiltupwithoutGravel,0.0
roof_system_Unknown,0.0
wall_cladding_WoodPanelSiding,0.0
roof_system_Concreteslab,0.0
wall_cladding_CurtainWall,0.0
wall_cladding_Concretemasonryunits,0.0
wall_cladding_concretemasonryunits,0.0
wall_cladding_SheetMetal,0.0
wall_cladding_BrickStuccoWoodBoards,0.0
wall_cladding_Cedar,0.0
wall_cladding_BrickWoodShakeShingle,0.0
wall_cladding_FiberCementBoardCorrugatedsteelpanels,0.0
wall_cladding_FiberCementBoardconcreteblock,0.0
wall_cladding_BrickPlywoodSiding,0.0
wall_cladding_BrickCorrugatedsteelpanelsPlywoodSiding,0.0
wall_cladding_WoodBoardsmasonryconcreteblocks,0.0
wall_cladding_CorrugatedsteelpanelsStucco,0.0
wall_cladding_EIFSWoodBoards,0.0
wall_cladding_BrickVinylSidingsinglewythe,0.0
wall_cladding_BrickCorrugatedsteelpanels,0.0
wall_cladding_FiberCementBoardWoodShakeShingle,0.0
wall_cladding_Brickaboveavggrayshingle,0.0
wall_cladding_StuccoConcreteBlock,0.0
wall_cladding_AluminumsidingConcreteblock,0.0
wall_cladding_VinylSidingunknownStone,0.0
wall_cladding_StuccoStonebrick,0.0
wall_cladding_ConcreteBlock,0.0
wall_substrate_nan,0.0
wall_substrate_Wooddimensionalplanks,0.0
wall_structure_Masonryreinforced,0.0
roof_shape_MonolithicDome,0.0
roof_shape_FlatGable,0.0
roof_shape_ComplexHip,0.0
roof_shape_GableGambrel,0.0
roof_shape_FlatHip,0.0
roof_shape_GableMonoslopeCombo,0.0
roof_shape_Arch,0.0
roof_shape_HipCurved,0.0
roof_shape_HipGable,0.0
mwfrs_RoofDiaphragmconcreteWallDiaphragmmasonry,0.0
mwfrs_RoofDiaphragmwoodWallDiaphragmmasonry,0.0
mwfrs_WallDiaphragmconcrete,0.0
wall_structure_SteelFrame,0.0
mwfrs_RoofDiaphragmsteelMomentFrame,0.0
mwfrs_Unknown,0.0
mwfrs_RoofDiaphragmsteelWallDiaphragmwood,0.0
mwfrs_RoofDiaphragmconcreteWallDiaphragmconcrete,0.0
mwfrs_RoofDiaphragmwoodWallDiaphragmwoodWallDiaphragmmasonry,0.0
mwfrs_RoofDiaphragmcompositeWallDiaphragmwood,0.0
mwfrs_RoofDiaphragmwoodRoofDiaphragmcomposite,0.0
mwfrs_RoofDiaphragmconcreteWallDiaphragmsteelWallDiaphragmconcrete,0.0
roof_shape_Gambrel,0.0
mwfrs_RoofDiaphragmwoodWallDiaphragmsteel,0.0
roof_shape_Monoslope,0.0
roof_shape_GableMonoslope,0.0
building_type_Retail,0.0
building_type_Government,0.0
building_type_Religious,0.0
building_type_Unknown,0.0
building_type_AssistedLivingCenter,0.0
building_type_Shed,0.0
building_type_HotelMotel,0.0
building_type_Condominium10units,0.0
building_type_Apartment10units,0.0
building_type_Hospital,0.0
building_type_ManufacturedHome,0.0
building_type_Professional,0.0
building_type_Office,0.0
building_type_Restaurant,0.0
building_type_DetachedGarage,0.0
building_type_Greenhouse,0.0
building_type_Apartment,0.0
building_type_Barn,0.0
roof_cover_AsphaltshingleslaminatedMetalcorrugated,0.0
roof_shape_Flat,0.0
roof_shape_Unknown,0.0
roof_shape_ComplexGable,0.0
mwfrs_WallDiaphragmwood,0.0
roof_cover_Other,0.0
mwfrs_WallDiaphragmmasonry,0.0
wall_structure_ConcretemomentresistingframeSteelcoldform,0.0
wall_structure_WoodframeMasonryreinforced,0.0
wall_structure_WoodframeMasonryunreinforcedMasonryreinforced,0.0
mwfrs_RoofDiaphragmsteel,0.0
wall_structure_WoodframeMasonryunknown,0.0
wall_structure_SolidBrickWythe,0.0
wall_structure_MasonryunknownSteelmomentresistingframe,0.0
wall_structure_Steelcoldform,0.0
wall_structure_Steelmomentresistingframe,0.0
wall_structure_Concretemomentresistingframe,0.0
foundation_type_BrickandConcretepiersareseeninthebackhalfofthehomesfoundationbutfronthalfconsistsofabrickstonemasonrywall,0.0
foundation_type_helicalanchorsspacedirregulary,0.0
foundation_type_Piers8ftunstrapped,0.0
foundation_type_Concretepierssupportcastconcreteslabongrade,0.0
foundation_type_Crawlspace,0.0
wall_structure_MasonryunreinforcedSteelmomentresistingframe,0.0
foundation_type_Reinforcedmasonrystemwall,0.0
mwfrs_SingleRowofColumns,0.0
mwfrs_RoofDiaphragmsteelWallDiaphragmmasonry,0.0
foundation_type_nan,0.0
wall_structure_Brick,0.0
foundation_type_Unreinforcedmasonrystemwall,0.0
foundation_type_Unreinforcedmasonrypiers,0.0
wall_structure_Concretetiltup,0.0
foundation_type_SlabonGrateandWoodPiersunknownheight,0.0
foundation_type_Castinplaceconcretepiers,0.0
wall_structure_WoodframeMasonryunreinforced,0.0
foundation_type_Reinforcedmasonrypiers,0.0
foundation_type_Groundanchorsandstrapping,0.0
foundation_type_WoodPiers_g_8ft,0.0
wall_substrate_Insulatedfoamboard,1.269103427103957e-05
wall_structure_Unknown,6.351236954320605e-05
roof_shape_GableHip,8.518245342110653e-05
wall_structure_Masonryunknown,8.849387801375119e-05
building_type_Educational,0.00010104351142130597
building_type_Servicestation,0.00011152926227226967
wall_cladding_Aluminumsiding,0.00013440475013311027
wall_structure_Masonryunreinforced,0.00016727913866401156
roof_system_WoodrafterWoodtrusses,0.00036549248043091784
mwfrs_RoofDiaphragmwoodWallDiaphragmconcrete,0.0003912469161968746
roof_system_Steelhotrolled,0.0006217316210054502
wall_substrate_NotApplicable,0.0009977083658655461
wall_structure_Woodframe,0.0010005324956517292
roof_shape_GableHipCombo,0.001032324133678908
mwfrs_RoofDiaphragmsteelWallDiaphragmsteelMomentFrame,0.0012135252698879829
wall_cladding_Brick,0.00121591426892258
wall_structure_SteelmomentresistingframeSteelbracedframe,0.0012468113255652558
wall_cladding_BrickVinylSidingunknown,0.0012617590396615253
wall_substrate_Unknown,0.0013609585582483818
mwfrs_nan,0.0014402356910492298
roof_cover_MetalcorrugatedMetalstandingseam,0.0014571573208272293
roof_cover_Metalcorrugated,0.0015590166089985314
roof_system_nan,0.0015694042369098326
roof_shape_nan,0.0015814062845526777
wall_cladding_VinylSidingstandard,0.002041611955085254
foundation_type_WoodPiers_le_8ft,0.002149192016201029
wall_cladding_nan,0.0027762506511848973
wall_cladding_FiberCementBoard,0.00315836175295785
roof_shape_Gable,0.0037025795759377143
roof_substrate_type_nan,0.004077599957112987
wall_structure_Steelbracedframe,0.004114902515218399
building_type_GeneralArea,0.006055050948072771
roof_system_Steeljoists,0.008983051379119922
wall_structure_nan,0.010425824399030259
roof_substrate_type_Unknown,0.010860016901083158
number_of_stories,0.01171473663067304
roof_shape_Hip,0.011790149589958276
roof_cover_Asphaltshingles3tab,0.01248159538006952
foundation_type_Slabongrade,0.01256230623422443
roof_cover_Asphaltshingleslaminated,0.014124101702237945
building_type_SingleFamily,0.033118889584095326
Unnamed0,0.041776168475130104
year_built,0.22284900534691668
