feature,mean_importance
mwfrs_RoofDiaphragmsteelWallDiaphragmsteel_diff_mindist,-0.023080064109323884
roof_cover_Metalstandingseam,-0.00676726072079199
wall_cladding_Brick_diff_mindist,-0.004309507473341467
mwfrs_nan,-0.0029162030095431835
roof_cover_Asphaltshingleslaminated_diff_mindist,-0.00225631992676123
mindist_ratio_mwfrs_RoofDiaphragmwoodWallDiaphragmwood,-0.002208832447429554
mindist_sum_building_type_SingleFamily,-0.001962832594777453
mindist_multiply_mwfrs_RoofDiaphragmwoodWallDiaphragmwood,-0.0019410625777464441
wall_cladding_Corrugatedsteelpanels_diff_mindist,-0.001789894537186054
roof_cover_Asphaltshingles3tab,-0.001779783718213812
wall_cladding_Stucco,-0.00172018749686893
wall_structure_nan,-0.0017060740751590365
roof_system_Woodtrusses,-0.0007785806045249366
roof_cover_Asphaltshingleslaminated,-0.0007173198507045564
roof_cover_Metalcorrugated,-0.0007016606606587983
wall_substrate_Woodsheathingcontinuous,-0.0005823242787135197
wall_cladding_WoodBoards,-0.00036309690272602336
building_type_Warehouse_diff_mindist,-0.000339647124939324
building_type_SingleFamily_multiply_Unnamed0,-0.0003063530232406908
mwfrs_RoofDiaphragmwoodWallDiaphragmwood_ratio_mindist,-0.0002979517672134113
roof_substrate_type_PlywoodOSB,-0.00029785491108138553
roof_substrate_type_nan,-0.0002462611867483533
wall_substrate_nan,-0.00024152656526075234
wall_cladding_BrickVinylSidingunknown,-0.00014806940323186524
wall_cladding_Brick,-3.35308629386466e-05
wall_cladding_FiberCementBoardWoodBoardsconcreteblocks,0.0
wall_cladding_FiberCementBoardWoodBoards,0.0
wall_cladding_VinylSidinghighwindrated,0.0
wall_cladding_VinylSidingunknownWoodBoards,0.0
wall_cladding_StuccoWoodBoards,0.0
wall_cladding_Cedarwood,0.0
wall_cladding_FiberCementBoardPlywoodSiding,0.0
wall_cladding_BrickStucco,0.0
wall_cladding_Masonryconcrete,0.0
wall_cladding_VinylSidingunknownWoodShakeShingle,0.0
wall_cladding_PlywoodSidingWoodShakeShingle,0.0
wall_cladding_WoodPlankSiding,0.0
wall_cladding_WoodPanelSiding,0.0
wall_cladding_FiberCementBoardWoodBoardsWoodShakeShingle,0.0
wall_cladding_Concretemasonryunits,0.0
wall_cladding_concretemasonryunits,0.0
wall_cladding_WoodBoardsWoodShakeShingle,0.0
wall_cladding_SheetMetal,0.0
wall_cladding_FiberCementBoardVinylSidingstandard,0.0
wall_cladding_WoodBoardsConcreteblock,0.0
wall_cladding_EIFS,0.0
wall_cladding_Unknown,0.0
wall_cladding_FiberCementBoard,0.0
wall_cladding_VinylSidingunknown,0.0
wall_cladding_BrickWoodBoards,0.0
wall_cladding_concreteblocks,0.0
wall_cladding_VinylSidingunknownconcreteblocks,0.0
wall_cladding_Corrugatedsteelpanels,0.0
wall_cladding_Aluminumsiding,0.0
wall_cladding_WoodShakeShingle,0.0
wall_cladding_StuccoVinylSidingunknown,0.0
wall_cladding_BrickVinylSidingstandard,0.0
wall_cladding_VinylSidingstandard,0.0
wall_cladding_Cedarstone,0.0
wall_cladding_PlywoodSiding,0.0
wall_cladding_BrickFiberCementBoard,0.0
wall_cladding_BrickStuccoWoodBoards,0.0
