feature,mean_importance
roof_cover_Asphaltshingleslaminated,-0.017195380578349618
wall_cladding_FiberCementBoard,-0.002965382460614041
roof_shape_Gable,-0.001781368745758205
wall_structure_Woodframe,-0.0010317157568452862
mwfrs_RoofDiaphragmwoodWallDiaphragmwood,-0.0009355930747317221
wall_cladding_WoodBoards,-0.0008894526161827398
wall_substrate_nan,-0.0005054765060552135
roof_shape_Flat,-0.00037955008211552064
roof_cover_Metalcorrugated,-0.0003129516434110524
roof_system_Unknown,-0.0002166784981848302
wall_structure_Steelmomentresistingframe,-0.00020244426861644184
roof_cover_Metalstandingseam,-0.00018227148655669545
roof_shape_Complex,-0.0001468450683312028
wall_cladding_BrickVinylSidingstandard,-0.00012495977834865447
wall_cladding_Corrugatedsteelpanels,-9.340744510986099e-05
roof_system_Steelcoldformed,-8.64796906110188e-05
mwfrs_RoofDiaphragmwood,-7.517173000808342e-05
roof_system_Concreteslab,-2.2016026825522063e-05
wall_cladding_Stucco,-1.4761432552279352e-05
wall_substrate_Metalpanels,-2.2204460492503132e-17
building_type_Educational,-2.2204460492503132e-17
wall_cladding_AluminumsidingConcreteblock,-2.2204460492503132e-17
foundation_type_SlabonGrateandWoodPiersunknownheight,-2.2204460492503132e-17
wall_cladding_Brick,0.0
roof_system_SteelcoldformedConcreteslab,0.0
wall_cladding_VinylSidingunknown,0.0
wall_cladding_concreteblocks,0.0
wall_cladding_BrickWoodBoards,0.0
wall_structure_Steelbracedframe,0.0
wall_cladding_VinylSidingunknownconcreteblocks,0.0
wall_cladding_Aluminumsiding,0.0
wall_cladding_WoodShakeShingle,0.0
wall_cladding_BrickVinylSidingunknown,0.0
roof_substrate_type_None,0.0
wall_cladding_nan,0.0
roof_system_SteelhotrolledZpurlins,0.0
wall_structure_SteelFrame,0.0
roof_cover_Rollroofing,0.0
wall_substrate_Wooddimensionalplanks,0.0
roof_system_SteelhotrolledWoodunknown,0.0
roof_cover_Concretetiles,0.0
wall_substrate_Woodsheathingcornersonly,0.0
wall_substrate_NotApplicableWoodBeams,0.0
wall_substrate_masonry,0.0
wall_structure_Masonryreinforced,0.0
wall_structure_Brick,0.0
wall_cladding_StuccoVinylSidingunknown,0.0
wall_substrate_Thinaluminumsiding,0.0
roof_substrate_type_Dimensionallumber,0.0
wall_structure_MasonryunreinforcedSteelmomentresistingframe,0.0
wall_structure_Concretemomentresistingframe,0.0
wall_substrate_None,0.0
wall_structure_MasonryunknownSteelmomentresistingframe,0.0
wall_structure_Steelcoldform,0.0
wall_cladding_Cedarstone,0.0
wall_cladding_FiberCementBoardWoodBoardsWoodShakeShingle,0.0
wall_cladding_Concretemasonryunits,0.0
wall_cladding_concretemasonryunits,0.0
wall_cladding_WoodBoardsWoodShakeShingle,0.0
wall_cladding_SheetMetal,0.0
wall_cladding_BrickStuccoWoodBoards,0.0
wall_cladding_Cedar,0.0
wall_cladding_BrickWoodShakeShingle,0.0
wall_cladding_FiberCementBoardCorrugatedsteelpanels,0.0
wall_cladding_WoodPanelSiding,0.0
wall_cladding_ConcreteBlock,0.0
wall_cladding_StuccoStonebrick,0.0
wall_cladding_WoodBoardsmasonryconcreteblocks,0.0
wall_cladding_CorrugatedsteelpanelsStucco,0.0
wall_cladding_EIFSWoodBoards,0.0
wall_cladding_BrickVinylSidingsinglewythe,0.0
wall_cladding_BrickCorrugatedsteelpanels,0.0
wall_cladding_FiberCementBoardWoodShakeShingle,0.0
wall_cladding_Brickaboveavggrayshingle,0.0
wall_cladding_StuccoConcreteBlock,0.0
wall_cladding_CurtainWall,0.0
roof_system_Steelhotrolled,0.0
wall_cladding_WoodPlankSiding,0.0
wall_cladding_FiberCementBoardPlywoodSiding,0.0
roof_system_WoodrafterWoodtrusses,0.0
wall_structure_SolidBrickWythe,0.0
wall_cladding_EIFS,0.0
wall_cladding_FiberCementBoardVinylSidingunknown,0.0
wall_cladding_PlywoodSidingStucco,0.0
roof_system_Woodrafter,0.0
wall_cladding_StuccoWoodBoardsStone,0.0
wall_cladding_BrickStone,0.0
wall_cladding_FiberCementBoardPlywoodSidingWoodShakeShingle,0.0
wall_cladding_PlywoodSidingWoodShakeShingle,0.0
wall_cladding_Unknown,0.0
wall_cladding_WoodBoardsConcreteblock,0.0
wall_cladding_VinylSidingunknownWoodShakeShingle,0.0
wall_cladding_StuccoWoodBoards,0.0
wall_cladding_FiberCementBoardWoodBoardsconcreteblocks,0.0
wall_cladding_Cedarwood,0.0
wall_cladding_FiberCementBoardWoodBoards,0.0
wall_cladding_VinylSidinghighwindrated,0.0
wall_cladding_FiberCementBoardVinylSidingstandard,0.0
wall_cladding_BrickStucco,0.0
wall_cladding_FiberCementBoardVinylSidingunknownWoodBoards,0.0
wall_structure_WoodframeMasonryunreinforcedMasonryreinforced,0.0
wall_cladding_VinylSidingunknownStone,0.0
wall_structure_Masonryunreinforced,0.0
roof_cover_Other,0.0
roof_cover_compositeshingles,0.0
roof_cover_Woodshingle,0.0
roof_cover_Asphaltshingles3tabMetalstandingseam,0.0
roof_cover_Metalshingles,0.0
roof_cover_MetalcorrugatedMetalstandingseam,0.0
roof_shape_GableHip,0.0
roof_shape_Unknown,0.0
building_type_Barn,0.0
roof_shape_GableMonoslope,0.0
roof_shape_Monoslope,0.0
roof_shape_Gambrel,0.0
roof_shape_MonolithicDome,0.0
roof_shape_FlatGable,0.0
roof_shape_ComplexHip,0.0
roof_shape_GableGambrel,0.0
roof_shape_FlatHip,0.0
roof_shape_GableMonoslopeCombo,0.0
roof_shape_ComplexGable,0.0
building_type_Apartment,0.0
building_type_Greenhouse,0.0
building_type_DetachedGarage,0.0
building_type_GeneralArea,0.0
roof_cover_AsphaltshingleslaminatedMetalcorrugated,0.0
building_type_Retail,0.0
building_type_Government,0.0
building_type_Religious,0.0
building_type_Unknown,0.0
building_type_Warehouse,0.0
roof_cover_UnknownNoclearpicturesofroof,0.0
building_type_AssistedLivingCenter,0.0
building_type_Shed,0.0
building_type_HotelMotel,0.0
building_type_Condominium10units,0.0
building_type_Apartment10units,0.0
building_type_Hospital,0.0
building_type_ManufacturedHome,0.0
building_type_Professional,0.0
roof_cover_WoodshakeWoodshingle,0.0
building_type_Restaurant,0.0
building_type_Servicestation,0.0
roof_shape_Arch,0.0
wall_structure_WoodframeMasonryunreinforced,0.0
roof_shape_HipCurved,0.0
mwfrs_RoofDiaphragmsteelWallDiaphragmmasonry,0.0
wall_structure_ConcretemomentresistingframeSteelcoldform,0.0
foundation_type_Unreinforcedmasonrystemwall,0.0
foundation_type_Unreinforcedmasonrypiers,0.0
roof_cover_Unknown,0.0
foundation_type_Reinforcedmasonrypiers,0.0
foundation_type_WoodPiers_g_8ft,0.0
foundation_type_Groundanchorsandstrapping,0.0
roof_shape_HipGable,0.0
foundation_type_Reinforcedmasonrystemwall,0.0
wall_structure_WoodframeMasonryreinforced,0.0
