feature,mean_importance
wall_substrate_Woodsheathingcontinuous,-0.015863698511464342
foundation_type_nan,-0.011916660053843176
roof_system_Unknown,-0.010856368631788783
understory_pct_of_building_footprint,-0.008250890441274672
wall_structure_Unknown,-0.008167997846949614
mwfrs_Unknown,-0.007984788730742487
mwfrs_nan,-0.006400937427528919
wall_cladding_Stucco,-0.00440791662637543
roof_system_nan,-0.003965347119210505
roof_shape_Hip,-0.0035559746646841362
wall_structure_Masonryunknown,-0.003350489240915344
building_type_HotelMotel,-0.0032887337640098656
roof_shape_GableHipCombo,-0.0026916730175201354
foundation_type_Castinplaceconcretepiers,-0.0024104754207653787
mwfrs_RoofDiaphragmsteelWallDiaphragmsteel,-0.002101014278632096
wall_cladding_BrickFiberCementBoard,-0.0019689512777856465
wall_cladding_BrickVinylSidingunknown,-0.0019514641316460413
wall_substrate_masonry,-0.0016497018465355673
wall_cladding_VinylSidingstandard,-0.0016104809364414052
wall_cladding_FiberCementBoardWoodBoards,-0.001263742854625005
roof_shape_Flat,-0.001199786991777385
building_type_Warehouse,-0.0008448675137138206
wall_structure_WoodframeMasonryunreinforced,-0.0008382147309226928
wall_substrate_nan,-0.0007610892318337559
wall_cladding_Masonryconcrete,-0.0007550342951555544
wall_cladding_ConcreteBlock,-0.0007324524229363361
roof_shape_Complex,-0.000723368297138438
wall_substrate_Unknown,-0.00072272748595954
wall_cladding_BrickWoodBoards,-0.000711100640620832
building_type_Servicestation,-0.0006994920679315841
roof_shape_ComplexHip,-0.0006946120046926296
wall_substrate_Insulatedfoamboard,-0.0005915156036209845
roof_shape_ComplexGable,-0.0005733595570238225
wall_structure_Steelcoldform,-0.0004941373566012874
building_type_Shed,-0.0004506314420189561
wall_cladding_BrickVinylSidingsinglewythe,-0.00043263469562049295
roof_system_Woodunknown,-0.0004189871861790317
wall_cladding_FiberCementBoardVinylSidingunknownWoodBoards,-0.0004123939680540811
roof_cover_Metalshingles,-0.00039746648817737815
mwfrs_RoofDiaphragmwoodWallDiaphragmconcrete,-0.000196282080252308
wall_cladding_VinylSidingunknownWoodShakeShingle,-0.00014889376583426817
wall_cladding_StuccoConcreteBlock,-0.00014266969460112743
wall_structure_Brick,-0.00013718215592044557
