feature,mean_importance
wall_structure_nan,-0.0055147765515493495
roof_shape_Flat,-0.000996153977312586
building_type_MultiFamily,2.916925185265651e-05
wall_substrate_Unknown,0.0004850919298722056
foundation_type_WoodPiers_le_8ft,0.003418404100579475
foundation_type_Unknown,0.004229148252634984
wall_cladding_Stucco,0.006535569662497154
understory_pct_of_building_footprint,0.007632536784058131
roof_substrate_type_PlywoodOSB,0.00872268107444365
roof_cover_Asphaltshingleslaminated,0.009838117626094744
roof_shape_Hip,0.009960259384486303
roof_substrate_type_Unknown,0.012514139134499636
Unnamed0,0.013986913122361467
number_of_stories,0.03650076682079255
building_type_SingleFamily,0.06171853949498736
mindist,0.08611654229331904
year_built,0.091396908465834
