feature,mean_importance
wall_cladding_FiberCementBoard,-0.007750582099948189
roof_shape_ComplexGable,-0.005558394008613243
understory_pct_of_building_footprint,-0.00472001456599429
roof_cover_Metalcorrugated,-0.004066495585048879
wall_cladding_WoodBoards,-0.003737753955851053
roof_substrate_type_PlywoodOSB,-0.0025184182986842663
wall_cladding_BrickVinylSidingunknown,-0.0022365196067166914
foundation_type_nan,-0.0019128370692130358
wall_cladding_BrickVinylSidingstandard,-0.0018110939052735642
mwfrs_RoofDiaphragmwood,-0.0018085065920154576
roof_system_Woodtrusses,-0.0015983591198736491
foundation_type_Slabongrade,-0.0015501496286749906
wall_substrate_nan,-0.001464720001578912
foundation_type_Castinplaceconcretepiers,-0.0012096725676429942
roof_system_Woodrafter,-0.0008939184732082994
roof_shape_GableHip,-0.0007556670513245934
mwfrs_RoofDiaphragmwoodWallDiaphragmconcrete,-0.0006323597793161051
roof_shape_ComplexHip,-0.000493882436441373
roof_system_Steelcoldformed,-0.0004291910430986867
building_type_Retail,-0.00040923299471529173
roof_shape_Gambrel,-0.00036222604110323073
wall_cladding_PlywoodSiding,-0.0003405550353386522
wall_structure_Woodframe,-0.00021963964573670224
wall_structure_SteelmomentresistingframeSteelbracedframe,-0.00021700330682994373
mwfrs_RoofDiaphragmsteelWallDiaphragmsteel,-0.00015705748992016487
roof_cover_Metalshingles,-0.00012363340852725724
roof_system_Concreteslab,-0.00011544965063567947
roof_cover_Unknown,-0.00010531914954281518
wall_substrate_Unknown,-7.909496086713207e-05
wall_cladding_Aluminumsiding,-7.802729389509988e-05
roof_system_nan,-6.998000107385493e-05
wall_cladding_BrickStone,0.0
wall_cladding_FiberCementBoardPlywoodSidingWoodShakeShingle,0.0
wall_cladding_Unknown,0.0
wall_cladding_FiberCementBoardVinylSidingunknownWoodBoards,0.0
wall_cladding_nan,0.0
wall_cladding_WoodBoardsConcreteblock,0.0
wall_cladding_VinylSidingunknownWoodShakeShingle,0.0
wall_cladding_StuccoWoodBoards,0.0
roof_cover_Woodshingle,0.0
wall_cladding_FiberCementBoardWoodBoardsconcreteblocks,0.0
wall_cladding_Cedarwood,0.0
wall_cladding_FiberCementBoardWoodBoards,0.0
wall_cladding_VinylSidinghighwindrated,0.0
wall_substrate_Insulatedfoamboard,0.0
wall_substrate_Thinaluminumsiding,0.0
wall_cladding_VinylSidingstandardWoodShakeShingle,0.0
wall_cladding_PlywoodSidingStucco,0.0
wall_substrate_NotApplicableWoodBeams,0.0
wall_cladding_concreteblocks,0.0
