feature,mean_importance
wall_structure_nan,-0.0033204319212630116
wall_cladding_Stucco,-0.0017345333782487371
building_type_MultiFamily,-0.0017191032564244147
roof_cover_Asphaltshingleslaminated,0.0019416712679424463
foundation_type_WoodPiers_le_8ft,0.0029948082638427296
roof_shape_Flat,0.003593557258824376
wall_substrate_Unknown,0.0061395830168767375
foundation_type_Unknown,0.007704121910510309
understory_pct_of_building_footprint,0.00859414187316101
roof_substrate_type_PlywoodOSB,0.01506660971704481
roof_shape_Hip,0.0166030820138084
roof_substrate_type_Unknown,0.02570150930890387
number_of_stories,0.04994082830290982
Unnamed0,0.07528323545286578
building_type_SingleFamily,0.09686077244223171
year_built,0.12035757973894896
mindist,0.17696083043561725
