feature,mean_importance
foundation_type_Unknown,-0.0012229544867114583
foundation_type_WoodPiers_le_8ft,0.0
wall_cladding_Stucco,0.00036445986039994603
wall_structure_nan,0.0009509476707387776
building_type_MultiFamily,0.003043581839996623
wall_substrate_Unknown,0.003601760423793543
roof_cover_Asphaltshingleslaminated,0.0038582216465700148
understory_pct_of_building_footprint,0.004554841501513462
roof_shape_Flat,0.00534057654597433
roof_substrate_type_PlywoodOSB,0.007008689978072469
roof_shape_Hip,0.010784591973645497
roof_substrate_type_Unknown,0.03048944866218719
number_of_stories,0.04936622519770919
Unnamed0,0.051755433753477374
building_type_SingleFamily,0.08999390490454291
year_built,0.09372840038668326
mindist,0.17970411815726878
