feature,mean_importance
roof_substrate_type_Unknown,-0.003950797829896891
building_type_MultiFamily,-0.0003092467057520754
roof_cover_Asphaltshingleslaminated,-8.285477822904675e-05
wall_cladding_Stucco,0.0004207345708270971
foundation_type_WoodPiers_le_8ft,0.0007746576882211142
roof_shape_Flat,0.0019595438582680645
roof_shape_Hip,0.0033307525884285205
understory_pct_of_building_footprint,0.004283253811664256
foundation_type_Unknown,0.005192670305510738
wall_structure_nan,0.01151451242577406
year_built,0.011650872924993737
wall_substrate_Unknown,0.013693995422962634
number_of_stories,0.030009658674326766
roof_substrate_type_PlywoodOSB,0.032167755303450354
Unnamed0,0.04784833103235668
mindist,0.11248896220971236
building_type_SingleFamily,0.17035187250535433
