feature,mean_importance
building_type_MultiFamily,-0.001639808632006745
roof_shape_Hip,-0.0013806049669136343
roof_substrate_type_PlywoodOSB,-0.0007202510095226877
wall_substrate_Unknown,-0.0005225987574208668
wall_cladding_Stucco,0.0
roof_shape_Flat,0.0
foundation_type_Unknown,0.0
wall_structure_nan,0.0
roof_cover_Asphaltshingleslaminated,0.002519824758773148
understory_pct_of_building_footprint,0.012749510411221809
number_of_stories,0.01851138967404895
Unnamed0,0.0202400564572083
foundation_type_WoodPiers_le_8ft,0.02404053985952346
roof_substrate_type_Unknown,0.04900637126786844
building_type_SingleFamily,0.05742931865932275
year_built,0.15714748547328564
mindist,0.37341653810187075
