feature,mean_importance
wall_substrate_Unknown,-0.022099360611611264
roof_substrate_type_Unknown,-0.016249723504419156
roof_shape_Flat,-0.011140655381471243
foundation_type_Unknown,-0.008836775220668235
building_type_MultiFamily,-0.0076373717953353015
roof_substrate_type_PlywoodOSB,-0.004265831618533933
wall_cladding_Stucco,-0.004233049511885234
year_built,0.0027414380749147594
roof_cover_Asphaltshingleslaminated,0.008251182613133757
roof_shape_Hip,0.009210564157358525
wall_structure_nan,0.010675365786590119
foundation_type_WoodPiers_le_8ft,0.022204466194680618
number_of_stories,0.02661732860354289
understory_pct_of_building_footprint,0.04267715683708828
Unnamed0,0.08678808692987852
building_type_SingleFamily,0.2318232594642796
mindist,0.2432136641005803
