name_of_investigator,created_at,updated_at,updated_by,date,overall_photos_front,overall_photos_back,overall_photos_left,overall_photos_right,detailed_photos_front,detailed_photos_back,detailed_photos_left,detailed_photos_right,elevations_assessed_front_o,elevations_assessed_back_o,elevations_assessed_left_o,elevations_assessed_right_o,latitude,longitude,geometry,address_suite,address_locality,address_postal_code,address_country,complete address,building_name,located_in_historic_district,occupancy_o,occupany_u,number_stories,year_built_o,year_built_u,building_area_m2,building_urban_setting,building_position_on_street,buidling_height_m,understory_pct_of_building_footprint,first_floor_elevation_m,front_elevation_orientation,wall_length_side,wall_length_front,,,wall_thickness,roof_shape_o,roof_shape_u,roof_slope_o,roof_slope_u,construction_type_o,construction_type_u,construction_type_u_unc,mwfrs_o,mwfrs_u_wall,mwfrs_u_roof,mwfrs_u_moment_frame,mwfrs_u_unc,masonry_leaves,masonry_leaves_unc,structural_wall_system_o,structural_wall_system_u,foundation_type_o,foundation_type_u,foundation_type_u_unc,wall_anchorage_type_o,wall_anchorage_type_u,wall_anchorage_type_u_unc,wall_substrate_o,wall_substrate_u,wall_substrate_u_unc,wall_cladding_o,wall_cladding_u,wall_cladding_u_unc,soffit_type_o,soffit_type_u,soffit_present_u,wall_fenesteration_protection_front,wall_fenesteration_protection_front_unc,wall_fenesteration_protection_back,wall_fenesteration_protection_back_unc,wall_fenesteration_protection_right,wall_fenesteration_protection_right_unc,wall_fenesteration_protection_left,wall_fenesteration_protection_left_unc,fenestration_protection_type_front,fenestration_protection_type_back,fenestration_protection_type_right,fenestration_protection_type_left,fenestration_protection_type_unc,fenesteration_ratio_o,large_door_present_front,large_door_present_back,large_door_present_right,large_door_present_left,door_present_n,door_present_s,door_present_e,door_present_w,large_door_opening_type_,opening_type,roof_system_o,roof_system_u,roof_system_u_unc,r2wall_attachment_o,r2wall_attachment_u,r2wall_attachment_type_unc,roof_substrate_type_o,roof_substrate_type_u,roof_substrate_type_u_unc,roof_cover_o,roof_cover_u,roof_cover_u_unc,overhang_length_o,overhang_length_u,parapet_height_m,secondary_water_barrier_o,secondary_water_barrier_u,retrofit_type_1_o,retrofit_type_1_u,retrofit_type_2_o,reotrofit_2_u,retrofit_year_o,retrofit_year_u,retrofit_present_u,retrofit_type_u,retrofit_type_unc_u,foundation_damage_cause_o,foundation_damage_cause_u,oop_failure_n,oop_failure_s,oop_failure_e,oop_failure_w,ip_failure_n,ip_failure_s,ip_failure_e,ip_failure_w,shortest_dist_from_tornado,status_u,risk_category_16,building_low_rise,building_open,building_enclosed,building_regular_shape,,exposure_category,building_natural_frequency,building_rigid,,about_structure,about_damages,about_openings,rest
napolitano ,2021-12-14 17:00:23 UTC,2021-12-14 17:05:08 UTC,nap@psu.edu,12/14/21,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,37.09767098,-87.85802099,POINT (-87.85802098930614 37.09767098076371),,Princeton,42445,US,1205 Hopkinsville St Princeton Caldwell County KY 42445 US,university of kentucky research center,no,,educational,1,,1990,390,isolated,recessed,5,0,2.5,s,11,33,,,0.23,,complex,,30,,steel_light_frame,2,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,double_leaf,1,,steel_cold_formed,,slab_on_grade,3,,un,1,,foam_board,2,,brick,3,,NA,no,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,regular,,wooden_rafters,3,,un,1,,plywood,3,,asphalt,3,,0,0,,,,,,,,,yes,reinforced_masonry,3,,NA,no,no,no,no,no,no,no,no,62.28851057,severe,2,yes,,,,,,,,,,,,
Mariant Gutierrez,2021-12-14 16:57:34 UTC,2021-12-14 17:05:49 UTC,mariant.gutierrezsoto@uky.edu,12/14/21,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,36.74395449,-88.62776879,POINT (-88.62776879221201 36.74395448944102),,Mayfield,42066,US,715 E Broadway St Mayfield Graves County KY 42066 US,,no,,business,1,,1990,2250,isolated,recessed,5,0,3.5,s,50,50,,,0.22,,flat,,0,,steel_moment_frame,2,,wall_diaphragm_steel,roof_diaphragm_steel,no,3,double_leaf,3,,steel_moment_resisting_frame,,concrete_stem_wall,2,,un,1,,foam_board,3,,vinyl_panel,3,,NA,no,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,yes,no,no,yes,no,no,no,double_garage,regular,,steel_deck,3,,un,1,,metal_deck,3,,corrugated_metal,3,,0,0.2,,,,,,,,,no,NA,3,,erosion,yes,yes,no,no,no,no,yes,no,50.39136774,severe,2,yes,,,,,,,,,,,,
napolitano ,2021-12-14 17:05:52 UTC,2021-12-14 17:12:09 UTC,nap@psu.edu,12/14/21,yes,yes,yes,yes,no,no,no,no,no,no,no,no,37.09827932,-87.85688952,POINT (-87.85688951611519 37.09827931713562),,Princeton,42445,US,1209 Hopkinsville St Princeton Caldwell County KY 42445 US,university of kentucky research center,no,,educational,2,,1990,360,isolated,recessed,5,0,2.5,s,17,9,,,0.2,,gambrel,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,,slab_on_grade,2,,un,1,,wooden_sheathing_cont,3,,wood_plank,3,,NA,no,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,regular,,wooden_rafters,3,,un,1,,plywood,3,,wooden_shingles,3,,un,0,,,,,,,,,no,NA,3,,erosion,yes,no,yes,yes,no,no,yes,no,62.17294806,severe,2,yes,,,,,,,,,,,,
napolitano ,2021-12-14 17:17:16 UTC,2021-12-16 23:50:06 UTC,nap@psu.edu,12/14/21,no,yes,yes,no,no,no,yes,no,no,no,no,no,37.09849485,-87.85610396,POINT (-87.85610396414995 37.09849485486978),,Princeton,42445,US,1209 Hopkinsville St Princeton Caldwell County KY 42445 US,university of kentucky research center,no,,educational,1,,1990,460,isolated,recessed,5,0,2.5,s,13,33,,,0.2,,gable,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,2,,wood_frame,,un,2,,un,1,,wooden_sheathing_cont,3,,vinyl_panel,3,,NA,no,no,2,no,2,no,2,no,2,NA,NA,NA,NA,2,,yes,no,no,no,no,no,yes,no,single_garage,regular,,wooden_rafters,2,,un,1,,plywood,3,,corrugated_metal,3,,un,0,,,,,,,,,no,NA,2,,erosion,yes,yes,yes,yes,no,no,no,no,62.09932946,destroyed,2,yes,,,,,,,,,,,,
napolitano ,2021-12-14 17:21:31 UTC,2021-12-14 17:25:04 UTC,nap@psu.edu,12/14/21,yes,no,no,yes,yes,yes,yes,yes,no,no,no,no,37.09767362,-87.8565016,POINT (-87.85650160163641 37.097673615381574),,Princeton,42445,US,1209 Hopkinsville St Princeton Caldwell County KY 42445 US,university of kentucky research center,no,,educational,1,,2000,430,isolated,recessed,8,0,8,s,20,20,,,0.2,,flat,,0,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,2,,wood_frame,,slab_on_grade,2,,un,1,,wooden_sheathing_cont,3,,wood_plank,3,,NA,no,no,2,no,2,no,2,no,2,NA,NA,NA,NA,2,,yes,no,no,no,yes,no,no,no,single_garage,regular,,wooden_rafters,3,,metal_straps,3,,metal_deck,3,,corrugated_metal,3,,un,0.2,,,,,,,,,no,NA,2,,NA,yes,yes,yes,yes,no,no,no,no,62.15938558,destroyed,2,yes,,,,,,,,,,,,
napolitano ,2021-12-14 17:25:38 UTC,2021-12-14 17:34:26 UTC,nap@psu.edu,12/14/21,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,37.09793114,-87.85608955,POINT (-87.8560895472765 37.097931139500524),,Princeton,42445,US,1209 Hopkinsville St Princeton Caldwell County KY 42445 US,university of kentucky research center,no,,educational,2,,1990,200,isolated,recessed,5,0,2.5,s,16,10,,,0.2,,gambrel,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,,slab_on_grade,3,,un,1,,wooden_sheathing_cont,3,,vinyl_panel,3,,NA,no,no,2,no,2,no,2,no,2,NA,NA,NA,NA,2,,yes,no,no,no,yes,no,no,no,single_garage,regular,,wooden_rafters,3,,un,1,,plywood,3,,corrugated_metal,3,,0.15,0,,,,,,,,,no,NA,2,,erosion,yes,yes,no,yes,no,yes,yes,yes,62.11613759,severe,2,yes,,,,,,,,,,,,
napolitano ,2021-12-14 17:32:01 UTC,2021-12-16 23:49:33 UTC,nap@psu.edu,12/14/21,no,yes,no,yes,no,yes,no,yes,no,no,no,no,37.09765811,-87.85650797,POINT (-87.85650797188282 37.097658105074395),,Princeton,42445,US,1209 Hopkinsville St Princeton Caldwell County KY 42445 US,university of kentucky research center,no,,educational,1,,1990,250,isolated,recessed,5,0,2.5,s,20,20,,,0.2,,flat,,0,,steel_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,un,1,,steel_cold_formed,,un,1,,un,1,,wooden_sheathing_cont,3,,vinyl_panel,3,,vinyl,yes,no,1,no,1,no,1,no,1,NA,NA,NA,NA,1,,yes,no,no,no,yes,no,no,no,single_garage,regular,,steel_deck,3,,un,1,,metal_deck,3,,corrugated_metal,3,,un,0.2,,,,,,,,,no,NA,1,,erosion,yes,yes,yes,yes,no,no,no,no,62.16042394,destroyed,2,yes,,,,,,,,,,,,
Jordan nakayama,2021-12-14 17:20:43 UTC,2021-12-14 23:31:52 UTC,jon0003@auburn.edu,12/14/21,yes,no,yes,no,no,yes,no,no,no,no,no,no,36.74629988,-88.63214348,POINT (-88.6321434751153 36.746299876702494),,Mayfield,42066,US,320 E James St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,400,isolated,right_on_street,3,0,3,s,12,36,,,0.2,,hip,,30,,steel_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,steel_cold_formed,Slab-on-grade,slab_on_grade,2,Anchor bolts with nuts and washers,anchor_bolts,3,,foam_board,3,,stucco,3,,vinyl,yes,no,2,no,2,no,2,no,2,NA,NA,NA,NA,2,,no,no,no,no,no,no,no,no,NA,regular,,steel_truss,3,,un,1,,plywood,3,,asphalt,3,,0.5,0,,,,,,,,,no,NA,2,,erosion,yes,yes,yes,yes,no,yes,no,no,50.20066979,destroyed,2,yes,,,,,,,,,,,,
Jordan nakayama,2021-12-14 17:36:47 UTC,2021-12-14 23:31:26 UTC,jon0003@auburn.edu,12/14/21,yes,no,no,no,no,no,no,no,no,no,no,no,36.74616743,-88.63190509,POINT (-88.6319050937891 36.74616743005317),,Mayfield,42066,US,320 E James St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,250,isolated,right_on_street,3,0,3,w,11,23,,,0.3,,hip,,30,,steel_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,steel_cold_formed,,slab_on_grade,2,,un,1,,foam_board,3,,stucco,3,,vinyl,yes,no,2,no,2,no,2,no,2,NA,NA,NA,NA,2,,no,no,no,no,no,no,no,no,NA,regular,,steel_truss,3,,un,1,,plywood,3,,asphalt,3,,0.5,0,,,,,,,,,no,NA,2,,erosion,yes,no,no,yes,no,yes,yes,no,50.21068961,severe,2,yes,,,,,,,,,,,,
napolitano ,2021-12-14 17:37:52 UTC,2021-12-14 17:41:18 UTC,nap@psu.edu,12/14/21,yes,yes,yes,yes,no,no,no,no,no,no,no,no,37.09857668,-87.85744909,POINT (-87.85744909197092 37.09857668417153),,Princeton,42445,US,1201-1215 university Dr Princeton Caldwell County KY 42445 US,,no,,educational,1,,1990,100,isolated,recessed,5,0,2.5,s,7,7,,,0.25,,gable,,40,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,,slab_on_grade,2,,un,1,,wooden_sheathing_cont,3,,wood_plank,3,,vinyl,yes,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,irregular,,wooden_rafters,3,,un,1,,plywood,3,,asphalt,3,,0.2,0,,,,,,,,,no,NA,3,,NA,no,no,no,yes,no,no,no,yes,62.21100249,moderate,2,yes,,,,,,,,,,,,
